experiment_name,id,attention_check1,attention_check2,block,trial,order,condition,effort_level,component,rating,rt
buysell_within2,27389,1,2,taskload,19,BuyerSeller,NA,Low,Frustration,21,2.3952
buysell_within2,27389,1,2,taskload,19,BuyerSeller,NA,Low,Performance,8,7.2517
buysell_within2,27389,1,2,taskload,19,BuyerSeller,NA,Low,Pleasure,1,4.1862
buysell_within2,27389,1,2,taskload,19,BuyerSeller,NA,Low,Meaning,2,2.4282
buysell_within2,27389,1,2,taskload,20,BuyerSeller,NA,Medium,Physical,21,1.562
buysell_within2,27389,1,2,taskload,20,BuyerSeller,NA,Medium,Meaning,1,1.828
buysell_within2,27389,1,2,taskload,20,BuyerSeller,NA,Medium,Efficient,1,1.4617
buysell_within2,27389,1,2,taskload,20,BuyerSeller,NA,Medium,Pleasure,1,1.6296
buysell_within2,27389,1,2,taskload,20,BuyerSeller,NA,Medium,Performance,1,2.1628
buysell_within2,27389,1,2,taskload,20,BuyerSeller,NA,Medium,Frustration,21,3.9446
buysell_within2,27389,1,2,taskload,20,BuyerSeller,NA,Medium,Depend,1,2.3116
buysell_within2,27389,1,2,taskload,20,BuyerSeller,NA,Medium,Mental,21,2.9463
buysell_within2,27389,1,2,taskload,20,BuyerSeller,NA,Medium,Effort,21,2.2466
buysell_within2,27389,1,2,taskload,20,BuyerSeller,NA,Medium,Temporal,5,4.0306
buysell_within2,27389,1,2,taskload,21,BuyerSeller,NA,High,Performance,1,6.1453
buysell_within2,27389,1,2,taskload,21,BuyerSeller,NA,High,Meaning,1,2.2935
buysell_within2,27389,1,2,taskload,21,BuyerSeller,NA,High,Depend,1,1.2963
buysell_within2,27389,1,2,taskload,21,BuyerSeller,NA,High,Effort,21,2.2947
buysell_within2,27389,1,2,taskload,21,BuyerSeller,NA,High,Mental,21,2.862
buysell_within2,27389,1,2,taskload,21,BuyerSeller,NA,High,Frustration,21,1.5453
buysell_within2,27389,1,2,taskload,21,BuyerSeller,NA,High,Efficient,1,1.6291
buysell_within2,27389,1,2,taskload,21,BuyerSeller,NA,High,Pleasure,1,3.8803
buysell_within2,27389,1,2,taskload,21,BuyerSeller,NA,High,Physical,21,4.7459
buysell_within2,27389,1,2,taskload,21,BuyerSeller,NA,High,Temporal,1,2.9114
buysell_within2,37382,1,1,main,1,SellerBuyer,Seller,Low,NA,2.951565256,8.6269
buysell_within2,37382,1,1,main,2,SellerBuyer,Seller,Medium,NA,4.008399471,2.6446
buysell_within2,37382,1,1,main,3,SellerBuyer,Seller,High,NA,4.986353616,3.2954
buysell_within2,37382,1,1,main,4,SellerBuyer,Seller,Low,NA,2.019003527,0.837
buysell_within2,37382,1,1,main,5,SellerBuyer,Seller,High,NA,4.936904762,0.9233
buysell_within2,37382,1,1,main,6,SellerBuyer,Seller,Medium,NA,3.01856261,2.1699
buysell_within2,37382,1,1,main,7,SellerBuyer,Seller,High,NA,3.993099647,3.3128
buysell_within2,37382,1,1,main,8,SellerBuyer,Seller,Medium,NA,3.056569665,0.8234
buysell_within2,37382,1,1,main,9,SellerBuyer,Seller,Low,NA,1,2.9892
buysell_within2,37382,1,1,main,10,SellerBuyer,Buyer,Medium,NA,2.992350088,0.8381
buysell_within2,37382,1,1,main,11,SellerBuyer,Buyer,Low,NA,1,3.4975
buysell_within2,37382,1,1,main,12,SellerBuyer,Buyer,High,NA,3.007958554,2.4666
buysell_within2,37382,1,1,main,13,SellerBuyer,Buyer,Medium,NA,3.013514109,33.746
buysell_within2,37382,1,1,main,14,SellerBuyer,Buyer,High,NA,3.991512346,3.0064
buysell_within2,37382,1,1,main,15,SellerBuyer,Buyer,Low,NA,1.003637566,4.4918
buysell_within2,37382,1,1,main,16,SellerBuyer,Buyer,High,NA,4.995723104,1.1814
buysell_within2,37382,1,1,main,17,SellerBuyer,Buyer,Low,NA,1.0039903,15.0267
buysell_within2,37382,1,1,main,18,SellerBuyer,Buyer,Medium,NA,1.929100529,13.7847
buysell_within2,37382,1,1,taskload,19,SellerBuyer,NA,Low,Effort,3,8.21
buysell_within2,37382,1,1,taskload,19,SellerBuyer,NA,Low,Physical,5,5.7384
buysell_within2,37382,1,1,taskload,19,SellerBuyer,NA,Low,Efficient,5,3.3565
buysell_within2,37382,1,1,taskload,19,SellerBuyer,NA,Low,Depend,5,3.3433
buysell_within2,37382,1,1,taskload,19,SellerBuyer,NA,Low,Pleasure,10,5.0291
buysell_within2,37382,1,1,taskload,19,SellerBuyer,NA,Low,Meaning,4,3.6232
buysell_within2,37382,1,1,taskload,19,SellerBuyer,NA,Low,Mental,4,0.8953
buysell_within2,37382,1,1,taskload,19,SellerBuyer,NA,Low,Temporal,5,0.8289
buysell_within2,37382,1,1,taskload,19,SellerBuyer,NA,Low,Frustration,5,0.6698
buysell_within2,37382,1,1,taskload,19,SellerBuyer,NA,Low,Performance,6,1.073
buysell_within2,37382,1,1,taskload,20,SellerBuyer,NA,Medium,Effort,10,4.0218
buysell_within2,37382,1,1,taskload,20,SellerBuyer,NA,Medium,Meaning,10,0.5033
buysell_within2,37382,1,1,taskload,20,SellerBuyer,NA,Medium,Pleasure,10,0.536
buysell_within2,37382,1,1,taskload,20,SellerBuyer,NA,Medium,Depend,10,0.448
buysell_within2,37382,1,1,taskload,20,SellerBuyer,NA,Medium,Frustration,10,0.5568
buysell_within2,37382,1,1,taskload,20,SellerBuyer,NA,Medium,Mental,10,0.8057
buysell_within2,37382,1,1,taskload,20,SellerBuyer,NA,Medium,Performance,10,0.498
buysell_within2,37382,1,1,taskload,20,SellerBuyer,NA,Medium,Efficient,10,0.4987
buysell_within2,37382,1,1,taskload,20,SellerBuyer,NA,Medium,Temporal,9,0.6452
buysell_within2,37382,1,1,taskload,21,SellerBuyer,NA,High,Physical,10,0.4076
buysell_within2,37382,1,1,taskload,21,SellerBuyer,NA,High,Temporal,7,0.7026
buysell_within2,37382,1,1,taskload,21,SellerBuyer,NA,High,Pleasure,9,0.4042
buysell_within2,37382,1,1,taskload,21,SellerBuyer,NA,High,Efficient,7,0.7139
buysell_within2,37382,1,1,taskload,21,SellerBuyer,NA,High,Frustration,8,0.2609
buysell_within2,37382,1,1,taskload,21,SellerBuyer,NA,High,Meaning,7,0.4716
buysell_within2,37382,1,1,taskload,21,SellerBuyer,NA,High,Performance,6,0.3635
buysell_within2,37574,1,2,main,1,BuyerSeller,Buyer,Low,NA,1.038443507,8.289
buysell_within2,37574,1,2,main,2,BuyerSeller,Buyer,Medium,NA,1.023441163,3.49
buysell_within2,37574,1,2,main,3,BuyerSeller,Buyer,High,NA,2.037398374,1.988
buysell_within2,37574,1,2,main,4,BuyerSeller,Buyer,Low,NA,2.037398374,4.575
buysell_within2,37574,1,2,main,5,BuyerSeller,Buyer,High,NA,1.022764228,1.106
buysell_within2,37574,1,2,main,6,BuyerSeller,Buyer,Medium,NA,1.946341463,1.373
buysell_within2,37574,1,2,main,7,BuyerSeller,Buyer,High,NA,1.985365854,1.139
buysell_within2,37574,1,2,main,8,BuyerSeller,Buyer,Medium,NA,2.017886179,1.209
buysell_within2,37574,1,2,main,9,BuyerSeller,Buyer,Low,NA,2.017886179,7.708
buysell_within2,37574,1,2,main,10,BuyerSeller,Seller,Medium,NA,2.115447154,5.271
buysell_within2,37574,1,2,main,11,BuyerSeller,Seller,Low,NA,2.583739837,3.876
buysell_within2,37574,1,2,main,12,BuyerSeller,Seller,High,NA,2.544715447,5.726
buysell_within2,37574,1,2,main,13,BuyerSeller,Seller,Medium,NA,2.856910569,1.539
buysell_within2,37574,1,2,main,14,BuyerSeller,Seller,High,NA,3.247154472,1.477
buysell_within2,37574,1,2,main,15,BuyerSeller,Seller,Low,NA,1.985365854,1.91
buysell_within2,37574,1,2,main,16,BuyerSeller,Seller,High,NA,3.02601626,2.024
buysell_within2,37574,1,2,main,17,BuyerSeller,Seller,Low,NA,2.030894309,1.01
buysell_within2,37574,1,2,main,18,BuyerSeller,Seller,Medium,NA,2.421138211,7.81
buysell_within2,37574,1,2,taskload,19,BuyerSeller,NA,Low,Frustration,6,8.909
buysell_within2,37574,1,2,taskload,19,BuyerSeller,NA,Low,Performance,9,9.203
buysell_within2,37574,1,2,taskload,19,BuyerSeller,NA,Low,Pleasure,5,6.891
buysell_within2,37574,1,2,taskload,19,BuyerSeller,NA,Low,Efficient,6,6.574
buysell_within2,37574,1,2,taskload,19,BuyerSeller,NA,Low,Physical,8,5.24
buysell_within2,37574,1,2,taskload,19,BuyerSeller,NA,Low,Depend,11,11.872
buysell_within2,37574,1,2,taskload,19,BuyerSeller,NA,Low,Mental,8,4.505
buysell_within2,37574,1,2,taskload,19,BuyerSeller,NA,Low,Effort,5,6.71
buysell_within2,37574,1,2,taskload,19,BuyerSeller,NA,Low,Meaning,2,4.772
buysell_within2,37574,1,2,taskload,19,BuyerSeller,NA,Low,Temporal,4,7.624
buysell_within2,37574,1,2,taskload,20,BuyerSeller,NA,Medium,Depend,6,30.054
buysell_within2,37574,1,2,taskload,20,BuyerSeller,NA,Medium,Efficient,2,5.458
buysell_within2,37574,1,2,taskload,20,BuyerSeller,NA,Medium,Meaning,3,5.692
buysell_within2,37574,1,2,taskload,20,BuyerSeller,NA,Medium,Effort,7,4.543
buysell_within2,37574,1,2,taskload,20,BuyerSeller,NA,Medium,Physical,7,2.074
buysell_within2,37574,1,2,taskload,20,BuyerSeller,NA,Medium,Temporal,5,5.423
buysell_within2,37574,1,2,taskload,20,BuyerSeller,NA,Medium,Mental,7,2.872
buysell_within2,37574,1,2,taskload,20,BuyerSeller,NA,Medium,Frustration,6,4.524
buysell_within2,37574,1,2,taskload,20,BuyerSeller,NA,Medium,Pleasure,2,3.176
buysell_within2,37574,1,2,taskload,20,BuyerSeller,NA,Medium,Performance,10,3.853
buysell_within2,37574,1,2,taskload,21,BuyerSeller,NA,High,Frustration,8,5.879
buysell_within2,37574,1,2,taskload,21,BuyerSeller,NA,High,Pleasure,2,3.605
buysell_within2,37574,1,2,taskload,21,BuyerSeller,NA,High,Temporal,2,4.04
buysell_within2,37574,1,2,taskload,21,BuyerSeller,NA,High,Efficient,3,2.14
buysell_within2,37574,1,2,taskload,21,BuyerSeller,NA,High,Depend,4,3.337
buysell_within2,37574,1,2,taskload,21,BuyerSeller,NA,High,Performance,10,4.505
buysell_within2,37574,1,2,taskload,21,BuyerSeller,NA,High,Meaning,3,5.607
buysell_within2,37574,1,2,taskload,21,BuyerSeller,NA,High,Mental,8,7.974
buysell_within2,38897,1,2,main,1,BuyerSeller,Buyer,Low,NA,1,13.68
buysell_within2,38897,1,2,main,2,BuyerSeller,Buyer,Medium,NA,1,7.973
buysell_within2,38897,1,2,main,3,BuyerSeller,Buyer,High,NA,1,6.3332
buysell_within2,38897,1,2,main,4,BuyerSeller,Buyer,Low,NA,1,1.8761
buysell_within2,38897,1,2,main,5,BuyerSeller,Buyer,High,NA,1,5.8886
buysell_within2,38897,1,2,main,6,BuyerSeller,Buyer,Medium,NA,1,2.1548
buysell_within2,38897,1,2,main,7,BuyerSeller,Buyer,High,NA,1,3.6902
buysell_within2,38897,1,2,main,8,BuyerSeller,Buyer,Medium,NA,1,3.6016
buysell_within2,38897,1,2,main,9,BuyerSeller,Buyer,Low,NA,1,2.6917
buysell_within2,38897,1,2,main,10,BuyerSeller,Seller,Medium,NA,5,20.2138
buysell_within2,38897,1,2,main,11,BuyerSeller,Seller,Low,NA,5,2.9129
buysell_within2,38897,1,2,main,12,BuyerSeller,Seller,High,NA,5,2.2747
buysell_within2,38897,1,2,main,13,BuyerSeller,Seller,Medium,NA,5,2.0488
buysell_within2,38897,1,2,main,14,BuyerSeller,Seller,High,NA,5,5.4832
buysell_within2,38897,1,2,main,15,BuyerSeller,Seller,Low,NA,5,2.5535
buysell_within2,38897,1,2,main,16,BuyerSeller,Seller,High,NA,4.943333333,3.4435
buysell_within2,38897,1,2,main,17,BuyerSeller,Seller,Low,NA,5,2.1378
buysell_within2,38897,1,2,main,18,BuyerSeller,Seller,Medium,NA,5,22.4558
buysell_within2,38897,1,2,taskload,19,BuyerSeller,NA,Low,Mental,1,6.967
buysell_within2,38897,1,2,taskload,19,BuyerSeller,NA,Low,Meaning,2,6.66
buysell_within2,38897,1,2,taskload,19,BuyerSeller,NA,Low,Physical,10,8.0561
buysell_within2,38897,1,2,taskload,19,BuyerSeller,NA,Low,Efficient,10,6.0979
buysell_within2,38897,1,2,taskload,19,BuyerSeller,NA,Low,Effort,3,7.7609
buysell_within2,38897,1,2,taskload,19,BuyerSeller,NA,Low,Performance,2,11.1816
buysell_within2,38897,1,2,taskload,19,BuyerSeller,NA,Low,Pleasure,2,7.2595
buysell_within2,38897,1,2,taskload,19,BuyerSeller,NA,Low,Frustration,20,8.4962
buysell_within2,38897,1,2,taskload,19,BuyerSeller,NA,Low,Depend,11,11.9204
buysell_within2,38897,1,2,taskload,19,BuyerSeller,NA,Low,Temporal,6,11.3991
buysell_within2,38897,1,2,taskload,20,BuyerSeller,NA,Medium,Physical,3,11362.571
buysell_within2,38897,1,2,taskload,20,BuyerSeller,NA,Medium,Temporal,3,4.7512
buysell_within2,38897,1,2,taskload,20,BuyerSeller,NA,Medium,Pleasure,2,7.6343
buysell_within2,38897,1,2,taskload,20,BuyerSeller,NA,Medium,Depend,8,12.7229
buysell_within2,38897,1,2,taskload,20,BuyerSeller,NA,Medium,Mental,2,4.43
buysell_within2,38897,1,2,taskload,20,BuyerSeller,NA,Medium,Efficient,8,6.6508
buysell_within2,38897,1,2,taskload,20,BuyerSeller,NA,Medium,Performance,1,3.3708
buysell_within2,38897,1,2,taskload,20,BuyerSeller,NA,Medium,Effort,2,3.1755
buysell_within2,38897,1,2,taskload,20,BuyerSeller,NA,Medium,Meaning,3,3.3388
buysell_within2,38897,1,2,taskload,20,BuyerSeller,NA,Medium,Frustration,20,3.5182
buysell_within2,38897,1,2,taskload,21,BuyerSeller,NA,High,Frustration,20,3.1594
buysell_within2,38897,1,2,taskload,21,BuyerSeller,NA,High,Pleasure,1,2.6393
buysell_within2,38897,1,2,taskload,21,BuyerSeller,NA,High,Physical,2,2.3141
buysell_within2,38897,1,2,taskload,21,BuyerSeller,NA,High,Temporal,3,4.4725
buysell_within2,38897,1,2,taskload,21,BuyerSeller,NA,High,Meaning,3,2.327
buysell_within2,38897,1,2,taskload,21,BuyerSeller,NA,High,Efficient,9,2.635
buysell_within2,38897,1,2,taskload,21,BuyerSeller,NA,High,Mental,2,2.4712
buysell_within2,38897,1,2,taskload,21,BuyerSeller,NA,High,Effort,2,3.2653
buysell_within2,38897,1,2,taskload,21,BuyerSeller,NA,High,Depend,4,3.6351
buysell_within2,38897,1,2,taskload,21,BuyerSeller,NA,High,Performance,1,4.0672
buysell_within2,40358,1,1,main,1,SellerBuyer,Seller,Low,NA,5,5.406
buysell_within2,40358,1,1,main,2,SellerBuyer,Seller,Medium,NA,5,3.813
buysell_within2,40358,1,1,main,3,SellerBuyer,Seller,High,NA,5,3.947
buysell_within2,40358,1,1,main,4,SellerBuyer,Seller,Low,NA,5,4.847
buysell_within2,40358,1,1,main,5,SellerBuyer,Seller,High,NA,5,4.013
buysell_within2,40358,1,1,main,6,SellerBuyer,Seller,Medium,NA,5,3.529
buysell_within2,40358,1,1,main,7,SellerBuyer,Seller,High,NA,5,3.245
buysell_within2,40358,1,1,main,8,SellerBuyer,Seller,Medium,NA,5,2.612
buysell_within2,40358,1,1,main,9,SellerBuyer,Seller,Low,NA,5,3.279
buysell_within2,40358,1,1,main,10,SellerBuyer,Buyer,Medium,NA,1,9.645
buysell_within2,40358,1,1,main,11,SellerBuyer,Buyer,Low,NA,2.525925926,8.279
buysell_within2,40358,1,1,main,12,SellerBuyer,Buyer,High,NA,1,2.513
buysell_within2,40358,1,1,main,13,SellerBuyer,Buyer,Medium,NA,1,3.163
buysell_within2,40358,1,1,main,14,SellerBuyer,Buyer,High,NA,1.216296296,4.615
buysell_within2,40358,1,1,main,15,SellerBuyer,Buyer,Low,NA,1,2.129
buysell_within2,40358,1,1,main,16,SellerBuyer,Buyer,High,NA,1,2.364
buysell_within2,40358,1,1,main,17,SellerBuyer,Buyer,Low,NA,1,4.414
buysell_within2,40358,1,1,main,18,SellerBuyer,Buyer,Medium,NA,1,2.382
buysell_within2,40358,1,1,taskload,19,SellerBuyer,NA,Low,Effort,5,11.629
buysell_within2,40358,1,1,taskload,19,SellerBuyer,NA,Low,Mental,1,4.583
buysell_within2,40358,1,1,taskload,19,SellerBuyer,NA,Low,Meaning,2,5.582
buysell_within2,40358,1,1,taskload,19,SellerBuyer,NA,Low,Temporal,11,7.283
buysell_within2,40358,1,1,taskload,19,SellerBuyer,NA,Low,Efficient,21,8.182
buysell_within2,40358,1,1,taskload,19,SellerBuyer,NA,Low,Pleasure,21,3.828
buysell_within2,40358,1,1,taskload,19,SellerBuyer,NA,Low,Frustration,1,4.681
buysell_within2,40358,1,1,taskload,19,SellerBuyer,NA,Low,Performance,1,4.716
buysell_within2,40358,1,1,taskload,19,SellerBuyer,NA,Low,Depend,21,5.297
buysell_within2,40358,1,1,taskload,19,SellerBuyer,NA,Low,Physical,1,2.661
buysell_within2,40358,1,1,taskload,20,SellerBuyer,NA,Medium,Physical,15,8.328
buysell_within2,40358,1,1,taskload,20,SellerBuyer,NA,Medium,Pleasure,8,2.817
buysell_within2,40358,1,1,taskload,20,SellerBuyer,NA,Medium,Depend,21,4.75
buysell_within2,40358,1,1,taskload,20,SellerBuyer,NA,Medium,Effort,15,4.949
buysell_within2,40358,1,1,taskload,20,SellerBuyer,NA,Medium,Efficient,7,8.16
buysell_within2,40358,1,1,taskload,20,SellerBuyer,NA,Medium,Performance,1,3.697
buysell_within2,40358,1,1,taskload,20,SellerBuyer,NA,Medium,Meaning,2,3.149
buysell_within2,40358,1,1,taskload,20,SellerBuyer,NA,Medium,Mental,13,4.815
buysell_within2,40358,1,1,taskload,20,SellerBuyer,NA,Medium,Frustration,11,3.593
buysell_within2,40358,1,1,taskload,20,SellerBuyer,NA,Medium,Temporal,1,3.663
buysell_within2,40358,1,1,taskload,21,SellerBuyer,NA,High,Pleasure,1,3.594
buysell_within2,40358,1,1,taskload,21,SellerBuyer,NA,High,Efficient,1,4.749
buysell_within2,40358,1,1,taskload,21,SellerBuyer,NA,High,Depend,21,3.716
buysell_within2,40358,1,1,taskload,21,SellerBuyer,NA,High,Performance,1,3.25
buysell_within2,40358,1,1,taskload,21,SellerBuyer,NA,High,Temporal,1,3.615
buysell_within2,40358,1,1,taskload,21,SellerBuyer,NA,High,Mental,18,4.183
buysell_within2,40358,1,1,taskload,21,SellerBuyer,NA,High,Frustration,12,3.663
buysell_within2,40358,1,1,taskload,21,SellerBuyer,NA,High,Effort,12,6.549
buysell_within2,40358,1,1,taskload,21,SellerBuyer,NA,High,Physical,11,7.116
buysell_within2,40358,1,1,taskload,21,SellerBuyer,NA,High,Meaning,2,3.829
buysell_within2,40543,1,1,main,1,SellerBuyer,Seller,Low,NA,2.514212963,16.2687
buysell_within2,40543,1,1,main,2,SellerBuyer,Seller,Medium,NA,3.500578704,9.3281
buysell_within2,40543,1,1,main,3,SellerBuyer,Seller,High,NA,4.030763889,7.9634
buysell_within2,40543,1,1,main,4,SellerBuyer,Seller,Low,NA,2.542731481,8.5018
buysell_within2,40543,1,1,main,5,SellerBuyer,Seller,High,NA,2.994976852,4.0024
buysell_within2,40543,1,1,main,6,SellerBuyer,Seller,Medium,NA,2.001041667,3.5287
buysell_within2,40543,1,1,main,7,SellerBuyer,Seller,High,NA,4.030578704,3.5514
buysell_within2,40543,1,1,main,8,SellerBuyer,Seller,Medium,NA,3.995138889,5.0637
buysell_within2,40543,1,1,main,9,SellerBuyer,Seller,Low,NA,2.041527778,5.552
buysell_within2,40543,1,1,main,10,SellerBuyer,Buyer,Medium,NA,1.243935185,8.7345
buysell_within2,40543,1,1,main,11,SellerBuyer,Buyer,Low,NA,1.337268519,2.8098
buysell_within2,40543,1,1,main,12,SellerBuyer,Buyer,High,NA,2.341967593,9.7149
buysell_within2,40543,1,1,main,13,SellerBuyer,Buyer,Medium,NA,3.016018519,3.1802
buysell_within2,40543,1,1,main,14,SellerBuyer,Buyer,High,NA,2.012824074,5.1639
buysell_within2,40543,1,1,main,15,SellerBuyer,Buyer,Low,NA,2.735902778,3.3193
buysell_within2,40543,1,1,main,16,SellerBuyer,Buyer,High,NA,1.689212963,7.2028
buysell_within2,40543,1,1,main,17,SellerBuyer,Buyer,Low,NA,2.508842593,6.3141
buysell_within2,40543,1,1,main,18,SellerBuyer,Buyer,Medium,NA,1.79400463,4.4019
buysell_within2,40543,1,1,taskload,19,SellerBuyer,NA,Low,Frustration,1,9.2303
buysell_within2,40543,1,1,taskload,19,SellerBuyer,NA,Low,Physical,1,3.9688
buysell_within2,40543,1,1,taskload,19,SellerBuyer,NA,Low,Performance,1,4.9966
buysell_within2,40543,1,1,taskload,19,SellerBuyer,NA,Low,Depend,15,10.646
buysell_within2,40543,1,1,taskload,19,SellerBuyer,NA,Low,Mental,1,2.6809
buysell_within2,40543,1,1,taskload,19,SellerBuyer,NA,Low,Effort,1,4.2644
buysell_within2,40543,1,1,taskload,19,SellerBuyer,NA,Low,Efficient,17,4.2521
buysell_within2,40543,1,1,taskload,19,SellerBuyer,NA,Low,Temporal,4,10.4131
buysell_within2,40543,1,1,taskload,19,SellerBuyer,NA,Low,Pleasure,15,4.682
buysell_within2,40543,1,1,taskload,19,SellerBuyer,NA,Low,Meaning,11,3.328
buysell_within2,40543,1,1,taskload,20,SellerBuyer,NA,Medium,Frustration,1,3.1808
buysell_within2,40543,1,1,taskload,20,SellerBuyer,NA,Medium,Pleasure,17,3.4974
buysell_within2,40543,1,1,taskload,20,SellerBuyer,NA,Medium,Performance,1,2.5282
buysell_within2,40543,1,1,taskload,20,SellerBuyer,NA,Medium,Mental,1,1.9628
buysell_within2,40543,1,1,taskload,20,SellerBuyer,NA,Medium,Temporal,2,2.8975
buysell_within2,40543,1,1,taskload,20,SellerBuyer,NA,Medium,Efficient,17,2.2801
buysell_within2,40543,1,1,taskload,20,SellerBuyer,NA,Medium,Physical,1,1.9959
buysell_within2,40543,1,1,taskload,20,SellerBuyer,NA,Medium,Effort,1,1.9297
buysell_within2,40543,1,1,taskload,20,SellerBuyer,NA,Medium,Meaning,11,2.3784
buysell_within2,40543,1,1,taskload,20,SellerBuyer,NA,Medium,Depend,11,13.9691
buysell_within2,40543,1,1,taskload,21,SellerBuyer,NA,High,Temporal,11,8.8555
buysell_within2,40543,1,1,taskload,21,SellerBuyer,NA,High,Performance,1,2.1642
buysell_within2,40543,1,1,taskload,21,SellerBuyer,NA,High,Frustration,6,2.2685
buysell_within2,40543,1,1,taskload,21,SellerBuyer,NA,High,Meaning,7,9.9363
buysell_within2,40543,1,1,taskload,21,SellerBuyer,NA,High,Mental,1,2.5614
buysell_within2,40543,1,1,taskload,21,SellerBuyer,NA,High,Efficient,17,5.5284
buysell_within2,40543,1,1,taskload,21,SellerBuyer,NA,High,Physical,1,1.5653
buysell_within2,40543,1,1,taskload,21,SellerBuyer,NA,High,Depend,16,4.5989
buysell_within2,40543,1,1,taskload,21,SellerBuyer,NA,High,Pleasure,16,3.0815
buysell_within2,40543,1,1,taskload,21,SellerBuyer,NA,High,Effort,4,3.1528
buysell_within2,40590,1,2,main,1,BuyerSeller,Buyer,Low,NA,1.011766803,7.7779
buysell_within2,40590,1,2,main,2,BuyerSeller,Buyer,Medium,NA,1,7.331
buysell_within2,40590,1,2,main,3,BuyerSeller,Buyer,High,NA,1,4.4823
buysell_within2,40590,1,2,main,4,BuyerSeller,Buyer,Low,NA,1,3.0605
buysell_within2,40590,1,2,main,5,BuyerSeller,Buyer,High,NA,1,3.4635
buysell_within2,40590,1,2,main,6,BuyerSeller,Buyer,Medium,NA,1,2.1156
buysell_within2,40590,1,2,main,7,BuyerSeller,Buyer,High,NA,1,3.6594
buysell_within2,40590,1,2,main,8,BuyerSeller,Buyer,Medium,NA,1,2.866
buysell_within2,40590,1,2,main,9,BuyerSeller,Buyer,Low,NA,1,3.483
buysell_within2,40590,1,2,main,10,BuyerSeller,Seller,Medium,NA,1.498840216,9.4319
buysell_within2,40590,1,2,main,11,BuyerSeller,Seller,Low,NA,1.500518043,2.0982
buysell_within2,40590,1,2,main,12,BuyerSeller,Seller,High,NA,1.781040737,2.6815
buysell_within2,40590,1,2,main,13,BuyerSeller,Seller,Medium,NA,1.842147507,7.6642
buysell_within2,40590,1,2,main,14,BuyerSeller,Seller,High,NA,1.76249845,5.2494
buysell_within2,40590,1,2,main,15,BuyerSeller,Seller,Low,NA,1.716842758,1.8193
buysell_within2,40590,1,2,main,16,BuyerSeller,Seller,High,NA,1.775611979,3.016
buysell_within2,40590,1,2,main,17,BuyerSeller,Seller,Low,NA,1.570458829,1.5198
buysell_within2,40590,1,2,main,18,BuyerSeller,Seller,Medium,NA,1.59031467,4.0198
buysell_within2,40590,1,2,taskload,19,BuyerSeller,NA,Low,Frustration,15,13.7157
buysell_within2,40590,1,2,taskload,19,BuyerSeller,NA,Low,Meaning,12,5.8848
buysell_within2,40590,1,2,taskload,19,BuyerSeller,NA,Low,Depend,13,7.6853
buysell_within2,40590,1,2,taskload,19,BuyerSeller,NA,Low,Pleasure,3,2.6501
buysell_within2,40590,1,2,taskload,19,BuyerSeller,NA,Low,Efficient,9,2.9855
buysell_within2,40590,1,2,taskload,19,BuyerSeller,NA,Low,Physical,5,1.7533
buysell_within2,40590,1,2,taskload,19,BuyerSeller,NA,Low,Effort,5,3.7146
