experiment_name,id,effort_level,component,rating,rt,profile,score_diff,score_weighted,score_slope
ratingclicks_within,38374,Low,Mental,8,4.9115,Mixed,0,0,-0
ratingclicks_within,38374,Low,Temporal,7,8.7703,Mixed,0,0,-0
ratingclicks_within,38374,Low,Pleasure,11,3.3719,Mixed,0,0,-0
ratingclicks_within,38374,Low,Performance,10,3.4037,Mixed,0,0,-0
ratingclicks_within,38374,Low,Efficient,8,3.6602,Mixed,0,0,-0
ratingclicks_within,38374,Low,Frustration,11,7.9039,Mixed,0,0,-0
ratingclicks_within,38374,Medium,Effort,8,15.2265,Mixed,0,0,-0
ratingclicks_within,38374,Medium,Meaning,8,1.8461,Mixed,0,0,-0
ratingclicks_within,38374,Medium,Frustration,7,1.9359,Mixed,0,0,-0
ratingclicks_within,38374,Medium,Efficient,7,1.1679,Mixed,0,0,-0
ratingclicks_within,38374,Medium,Performance,7,0.7236,Mixed,0,0,-0
ratingclicks_within,38374,Medium,Depend,8,0.8472,Mixed,0,0,-0
ratingclicks_within,38374,Medium,Mental,8,0.5876,Mixed,0,0,-0
ratingclicks_within,38374,Medium,Temporal,8,2.7234,Mixed,0,0,-0
ratingclicks_within,38374,Medium,Pleasure,9,1.5704,Mixed,0,0,-0
ratingclicks_within,38374,Medium,Physical,8,1.2786,Mixed,0,0,-0
ratingclicks_within,38374,High,Temporal,1,7.358,Mixed,0,0,-0
ratingclicks_within,38374,High,Pleasure,6,1.295,Mixed,0,0,-0
ratingclicks_within,38374,High,Mental,6,0.6452,Mixed,0,0,-0
ratingclicks_within,38374,High,Depend,7,0.504,Mixed,0,0,-0
ratingclicks_within,38374,High,Physical,8,0.4785,Mixed,0,0,-0
ratingclicks_within,38374,High,Frustration,9,0.447,Mixed,0,0,-0
ratingclicks_within,38374,High,Efficient,8,1.2535,Mixed,0,0,-0
ratingclicks_within,38374,High,Meaning,9,0.4866,Mixed,0,0,-0
ratingclicks_within,38374,High,Performance,7,0.5956,Mixed,0,0,-0
ratingclicks_within,38374,High,Effort,8,0.6284,Mixed,0,0,-0
ratingclicks_within,39830,Low,Meaning,9,5.3436,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Low,Physical,14,3.4948,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Low,Temporal,6,5.8127,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Low,Performance,13,3.5682,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Low,Depend,11,3.9288,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Low,Frustration,16,5.2287,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Low,Efficient,8,4.3115,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Low,Pleasure,15,7.6638,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Low,Effort,11,4.6103,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Low,Mental,14,2.7868,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Medium,Performance,9,20.044,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Medium,Mental,9,1.7424,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Medium,Temporal,11,1.2444,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Medium,Frustration,15,2.7963,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Medium,Efficient,14,2.3943,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Medium,Physical,14,2.9623,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Medium,Meaning,7,2.8784,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Medium,Effort,11,2.6135,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Medium,Depend,9,1.0009,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,Medium,Pleasure,9,2.812,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,High,Depend,8,11.5923,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,High,Physical,17,2.4802,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,High,Performance,11,1.9335,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,High,Efficient,11,1.7777,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,High,Pleasure,7,1.6805,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,High,Meaning,4,1.9296,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,High,Temporal,6,3.4783,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,High,Frustration,17,2.1512,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,High,Mental,12,1.8128,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,39830,High,Effort,10,1.6443,Decreasing,-1,-0.5,-0.500000000000002
ratingclicks_within,40119,Low,Efficient,11,4.8943,Increasing,16,8,8
ratingclicks_within,40119,Low,Pleasure,15,3.0016,Increasing,16,8,8
ratingclicks_within,40119,Low,Depend,16,8.4522,Increasing,16,8,8
ratingclicks_within,40119,Low,Temporal,10,5.0686,Increasing,16,8,8
ratingclicks_within,40119,Low,Physical,1,2.0979,Increasing,16,8,8
ratingclicks_within,40119,Low,Frustration,8,4.6184,Increasing,16,8,8
ratingclicks_within,40119,Low,Mental,1,1.8529,Increasing,16,8,8
ratingclicks_within,40119,Low,Performance,4,4.7187,Increasing,16,8,8
ratingclicks_within,40119,Low,Meaning,14,3.3355,Increasing,16,8,8
ratingclicks_within,40119,Low,Effort,5,4.515,Increasing,16,8,8
ratingclicks_within,40119,Medium,Physical,7,2.0623,Increasing,16,8,8
ratingclicks_within,40119,Medium,Performance,1,2.0465,Increasing,16,8,8
ratingclicks_within,40119,Medium,Mental,11,3.7967,Increasing,16,8,8
ratingclicks_within,40119,Medium,Pleasure,4,6.5019,Increasing,16,8,8
ratingclicks_within,40119,Medium,Depend,21,3.0137,Increasing,16,8,8
ratingclicks_within,40119,Medium,Frustration,16,2.5448,Increasing,16,8,8
ratingclicks_within,40119,Medium,Efficient,5,4.0301,Increasing,16,8,8
ratingclicks_within,40119,Medium,Temporal,1,3.4474,Increasing,16,8,8
ratingclicks_within,40119,Medium,Meaning,8,6.8518,Increasing,16,8,8
ratingclicks_within,40119,Medium,Effort,16,2.502,Increasing,16,8,8
ratingclicks_within,40119,High,Depend,21,23.6138,Increasing,16,8,8
ratingclicks_within,40119,High,Effort,21,7.5451,Increasing,16,8,8
ratingclicks_within,40119,High,Temporal,1,4.2816,Increasing,16,8,8
ratingclicks_within,40119,High,Performance,1,9.0023,Increasing,16,8,8
ratingclicks_within,40119,High,Meaning,3,3.0799,Increasing,16,8,8
ratingclicks_within,40119,High,Efficient,5,3.1984,Increasing,16,8,8
ratingclicks_within,40119,High,Frustration,18,1.898,Increasing,16,8,8
ratingclicks_within,40119,High,Pleasure,1,1.7019,Increasing,16,8,8
ratingclicks_within,40119,High,Mental,1,1.4686,Increasing,16,8,8
ratingclicks_within,40119,High,Physical,1,1.2297,Increasing,16,8,8
ratingclicks_within,40306,Low,Mental,4,3.9123,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Low,Performance,7,3.1939,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Low,Temporal,9,1.4113,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Low,Efficient,7,1.1122,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Low,Depend,11,1.2628,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Low,Effort,6,1.4522,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Low,Physical,11,2.1485,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Low,Meaning,8,0.9788,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Low,Frustration,8,0.8787,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Low,Pleasure,8,0.9289,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Medium,Depend,5,1.1272,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Medium,Effort,5,1.2806,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Medium,Efficient,12,1.4778,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Medium,Temporal,7,1.1714,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Medium,Frustration,10,1.0687,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Medium,Performance,10,1.1464,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Medium,Pleasure,7,9.1128,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Medium,Physical,9,0.8504,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Medium,Meaning,13,0.6796,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,Medium,Mental,5,0.8957,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,High,Efficient,9,10.0655,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,High,Physical,7,0.7121,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,High,Effort,5,1.6141,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,High,Temporal,4,33.2614,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,High,Mental,13,1.1633,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,High,Meaning,3,4.0624,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,High,Depend,18,1.6289,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,High,Performance,18,1.4432,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,High,Pleasure,15,0.7993,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40306,High,Frustration,5,0.9801,Decreasing,-1,-0.5,-0.5000000000000004
ratingclicks_within,40540,Low,Meaning,6,3.1767,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Low,Effort,15,4.8206,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Low,Depend,11,2.2689,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Low,Pleasure,12,1.775,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Low,Frustration,16,1.0257,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Low,Physical,11,0.7555,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Low,Mental,12,1.7792,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Low,Performance,14,2.4411,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Low,Efficient,12,0.6444,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Low,Temporal,14,3.5216,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Medium,Frustration,16,3.1895,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Medium,Efficient,13,2.778,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Medium,Physical,11,0.6549,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Medium,Pleasure,12,2.005,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Medium,Meaning,5,2.9044,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Medium,Depend,8,2.852,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Medium,Effort,9,0.7797,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Medium,Performance,10,0.7349,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Medium,Temporal,10,1.2297,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,Medium,Mental,10,1.8331,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,High,Temporal,16,2.1968,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,High,Physical,10,0.8472,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,High,Performance,15,0.2943,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,High,Depend,12,0.7352,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,High,Effort,10,0.6545,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,High,Pleasure,13,0.6605,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,High,Efficient,11,0.4894,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,High,Frustration,12,0.6556,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,High,Mental,12,1.6091,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40540,High,Meaning,11,0.8543,Mixed,-5,-2.5,-2.500000000000001
ratingclicks_within,40604,Low,Depend,9,10.6711,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Low,Effort,5,4.6707,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Low,Physical,6,2.5528,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Low,Pleasure,21,3.0029,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Low,Performance,1,4.1566,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Low,Temporal,3,13.877,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Low,Efficient,19,3.8532,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Low,Mental,2,3.0876,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Low,Frustration,3,6.2598,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Low,Meaning,6,4.8231,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Medium,Frustration,5,3.2364,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Medium,Efficient,18,3.2733,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Medium,Mental,5,3.6464,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Medium,Performance,2,4.2467,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Medium,Pleasure,13,4.0696,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Medium,Effort,8,4.3627,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Medium,Depend,16,7.6196,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Medium,Meaning,7,3.8869,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Medium,Physical,13,3.8381,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,Medium,Temporal,1,10.2971,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,High,Meaning,1,3.7542,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,High,Temporal,1,2.9905,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,High,Performance,2,3.6889,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,High,Depend,20,5.0526,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,High,Efficient,1,5.2077,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,High,Pleasure,1,3.5701,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,High,Effort,16,4.6863,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,High,Physical,18,1.5447,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,High,Mental,4,3.6057,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40604,High,Frustration,21,3.3946,Increasing,11,5.5,5.500000000000002
ratingclicks_within,40930,Low,Pleasure,2,4.5949,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Low,Meaning,1,2.6118,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Low,Frustration,15,5.7459,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Low,Efficient,1,4.9445,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Low,Effort,1,4.3936,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Low,Performance,4,5.3114,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Low,Physical,10,6.3449,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Low,Temporal,7,5.5448,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Low,Depend,1,6.2289,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Low,Mental,1,2.2452,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Medium,Meaning,1,3.6269,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Medium,Efficient,1,2.2956,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Medium,Mental,1,4.062,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Medium,Effort,3,4.5777,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Medium,Physical,2,3.8448,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Medium,Temporal,1,2.3458,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Medium,Frustration,16,3.8779,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Medium,Performance,1,3.362,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Medium,Depend,1,2.6274,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,Medium,Pleasure,1,2.6937,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,High,Meaning,1,1.6935,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,High,Depend,1,2.1282,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,High,Mental,1,1.7778,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,High,Frustration,17,3.7118,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,High,Performance,1,2.2623,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,High,Effort,1,2.5118,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,High,Physical,2,2.6294,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,High,Pleasure,1,2.8446,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,High,Temporal,1,2.4779,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40930,High,Efficient,1,36.8787,Mixed,0,0,-4.710277376051327e-16
ratingclicks_within,40987,Low,Mental,7,5.417,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Low,Effort,7,3.665,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Low,Temporal,12,3.968,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Low,Efficient,8,6.292,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Low,Depend,12,8.425,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Low,Meaning,2,3.767,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Low,Pleasure,6,5.855,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Low,Frustration,6,9.031,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Low,Performance,10,2.167,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Low,Physical,9,12.091,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Medium,Pleasure,8,3.091,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Medium,Temporal,11,3.725,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Medium,Physical,6,2.334,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Medium,Effort,8,2.649,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Medium,Mental,3,3.449,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Medium,Efficient,3,10.025,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Medium,Performance,14,4.019,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Medium,Frustration,3,3.234,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Medium,Depend,10,3.321,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,Medium,Meaning,4,1.686,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,High,Depend,9,16.433,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,High,Pleasure,1,3.972,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,High,Physical,8,2.084,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,High,Efficient,5,1.853,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,High,Performance,11,1.67,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,High,Temporal,7,3.869,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,High,Effort,13,1.884,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,High,Frustration,7,2.355,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,High,Meaning,3,1.319,Increasing,6,3,2.9999999999999996
ratingclicks_within,40987,High,Mental,4,21.108,Increasing,6,3,2.9999999999999996
ratingclicks_within,41008,Low,Efficient,17,7.9927,Increasing,8,4,3.9999999999999987
ratingclicks_within,41008,Low,Effort,5,2.6249,Increasing,8,4,3.9999999999999987
ratingclicks_within,41008,Low,Depend,7,3.0281,Increasing,8,4,3.9999999999999987
ratingclicks_within,41008,Low,Physical,5,1.8305,Increasing,8,4,3.9999999999999987
ratingclicks_within,41008,Low,Frustration,7,4.0431,Increasing,8,4,3.9999999999999987
