experiment_name,experiment_id,id,condition,trial,effort_level,effort_steps,effort_ans,steps_correct,scale_type,rating,rt,gender,age,nasa_tlx
effortobserve,2349,30160,Liking,15,Low,30,30,1,Liking,2.807957176,1.5462,Female,22,281
effortobserve,2349,30160,Liking,16,High,270,270,1,Liking,3.57884838,0.9532,Female,22,281
effortobserve,2349,30160,Liking,17,Low,30,30,1,Liking,2.68359375,1.8843,Female,22,281
effortobserve,2349,30160,Liking,18,Medium,100,100,1,Liking,4.039265046,0.5949,Female,22,281
effortobserve,2349,31476,Liking,1,Low,30,30,1,Liking,2.977714844,4.5389,Female,23,125
effortobserve,2349,31476,Liking,2,Medium,100,100,1,Liking,1.99280599,3.9228,Female,23,125
effortobserve,2349,31476,Liking,3,High,270,270,1,Liking,1.968098551,1.991,Female,23,125
effortobserve,2349,31476,Liking,4,Low,30,30,1,Liking,1.983491618,1.8842,Female,23,125
effortobserve,2349,31476,Liking,5,High,270,270,1,Liking,3.001962891,1.3826,Female,23,125
effortobserve,2349,31476,Liking,6,Medium,100,100,1,Liking,4.00578654,3.2735,Female,23,125
effortobserve,2349,31476,Liking,7,High,270,270,1,Liking,3.012623698,1.5471,Female,23,125
effortobserve,2349,31476,Liking,8,Medium,100,100,1,Liking,3.003650716,2.6155,Female,23,125
effortobserve,2349,31476,Liking,9,Low,30,30,1,Liking,1.988762207,1.5989,Female,23,125
effortobserve,2349,31476,Liking,10,Medium,100,100,1,Liking,2.997060547,2.0141,Female,23,125
effortobserve,2349,31476,Liking,11,Low,30,30,1,Liking,3.001879069,2.4649,Female,23,125
effortobserve,2349,31476,Liking,12,High,270,270,1,Liking,3.998791504,1.7141,Female,23,125
effortobserve,2349,31476,Liking,13,Medium,100,100,1,Liking,2.992409668,1.5538,Female,23,125
effortobserve,2349,31476,Liking,14,High,270,270,1,Liking,3.014801839,3.1299,Female,23,125
effortobserve,2349,31476,Liking,15,Low,30,30,1,Liking,2.97050293,1.2803,Female,23,125
effortobserve,2349,31476,Liking,16,High,270,270,1,Liking,2.990929769,1.0026,Female,23,125
effortobserve,2349,31476,Liking,17,Low,30,30,1,Liking,1.976528727,1.1071,Female,23,125
effortobserve,2349,31476,Liking,18,Medium,100,100,1,Liking,2.021068115,1.8994,Female,23,125
effortobserve,2349,31581,Value,1,Low,30,30,1,Value,1,9.925,Male,21,60
effortobserve,2349,31581,Value,2,Medium,100,100,1,Value,1.162962963,7.977,Male,21,60
effortobserve,2349,31581,Value,3,High,270,270,1,Value,1,1.759,Male,21,60
effortobserve,2349,31581,Value,4,Low,30,30,1,Value,1,2.458,Male,21,60
effortobserve,2349,31581,Value,5,High,270,270,1,Value,1.024691358,1.58,Male,21,60
effortobserve,2349,31581,Value,6,Medium,100,100,1,Value,1.118518519,1.792,Male,21,60
effortobserve,2349,31581,Value,7,High,270,270,1,Value,1.024691358,1.739,Male,21,60
effortobserve,2349,31581,Value,9,Low,30,30,1,Value,1.039506173,1.025,Male,21,60
effortobserve,2349,31581,Value,10,Medium,100,100,1,Value,1.004938272,0.921,Male,21,60
effortobserve,2349,31581,Value,11,Low,30,30,1,Value,1,4.013,Male,21,60
effortobserve,2349,31581,Value,12,High,270,270,1,Value,1.049382716,5.325,Male,21,60
effortobserve,2349,31581,Value,13,Medium,100,100,1,Value,1.024691358,5.468,Male,21,60
effortobserve,2349,31581,Value,14,High,270,100,0,Value,1.009876543,0.965,Male,21,60
effortobserve,2349,31581,Value,15,Low,30,30,1,Value,1.004938272,0.924,Male,21,60
effortobserve,2349,31581,Value,16,High,270,270,1,Value,1.044444444,2.071,Male,21,60
effortobserve,2349,31581,Value,17,Low,30,30,1,Value,1.039506173,1.172,Male,21,60
effortobserve,2349,31581,Value,18,Medium,100,100,1,Value,1.004938272,1.178,Male,21,60
effortobserve,2349,31816,Liking,1,Low,30,30,1,Liking,3,4.1888,Female,20,166
effortobserve,2349,31816,Liking,2,Medium,100,100,1,Liking,4.856790425,2.2191,Female,20,166
effortobserve,2349,31816,Liking,3,High,270,270,1,Liking,2.590123683,2.02,Female,20,166
effortobserve,2349,31816,Liking,4,Low,30,30,1,Liking,2.348148299,1.5027,Female,20,166
effortobserve,2349,31816,Liking,5,High,270,270,1,Liking,3.612345754,1.6679,Female,20,166
effortobserve,2349,31816,Liking,6,Medium,100,100,1,Liking,1.256790161,1.3186,Female,20,166
effortobserve,2349,31816,Liking,7,High,270,270,1,Liking,4.437036962,1.4538,Female,20,166
effortobserve,2349,31816,Liking,8,Medium,100,100,1,Liking,2.466666893,1.349,Female,20,166
effortobserve,2349,31816,Liking,9,Low,30,30,1,Liking,1.612345754,1.6002,Female,20,166
effortobserve,2349,31816,Liking,10,Medium,100,100,1,Liking,1.518518519,1.3857,Female,20,166
effortobserve,2349,31816,Liking,11,Low,30,30,1,Liking,2.209876543,1.4162,Female,20,166
effortobserve,2349,31816,Liking,12,High,270,270,1,Liking,2.723456865,2.0615,Female,20,166
effortobserve,2349,31816,Liking,13,Medium,100,30,0,Liking,1.735802544,1.8019,Female,20,166
effortobserve,2349,31816,Liking,14,High,270,270,1,Liking,3.711111186,1.7626,Female,20,166
effortobserve,2349,31816,Liking,15,Low,30,30,1,Liking,1.676543436,1.8331,Female,20,166
effortobserve,2349,31816,Liking,16,High,270,270,1,Liking,2.550617359,1.6845,Female,20,166
effortobserve,2349,31816,Liking,17,Low,30,30,1,Liking,1.592592593,1.3469,Female,20,166
effortobserve,2349,31816,Liking,18,Medium,100,100,1,Liking,1.562963038,1.2033,Female,20,166
effortobserve,2349,31940,Value,1,Low,30,30,1,Value,3.003703704,4.6352,Female,22,115
effortobserve,2349,31940,Value,2,Medium,100,100,1,Value,3.985185185,1.9909,Female,22,115
effortobserve,2349,31940,Value,3,High,270,270,1,Value,2.977777778,1.9042,Female,22,115
effortobserve,2349,31940,Value,4,Low,30,30,1,Value,2.977777778,4.6709,Female,22,115
effortobserve,2349,31940,Value,5,High,270,270,1,Value,3.022222222,1.2255,Female,22,115
effortobserve,2349,31940,Value,6,Medium,100,100,1,Value,1.1,0.9101,Female,22,115
effortobserve,2349,31940,Value,7,High,270,270,1,Value,2.959259259,0.8864,Female,22,115
effortobserve,2349,31940,Value,8,Medium,100,100,1,Value,1.051851852,1.4179,Female,22,115
effortobserve,2349,31940,Value,9,Low,30,30,1,Value,3.018518519,0.8697,Female,22,115
effortobserve,2349,31940,Value,10,Medium,100,100,1,Value,1.092592593,2.1847,Female,22,115
effortobserve,2349,31940,Value,11,Low,30,30,1,Value,3.018518519,0.7061,Female,22,115
effortobserve,2349,31940,Value,12,High,270,270,1,Value,2.996296296,0.6239,Female,22,115
effortobserve,2349,31940,Value,13,Medium,100,100,1,Value,1.051851852,1.8757,Female,22,115
effortobserve,2349,31940,Value,14,High,270,270,1,Value,2.792592593,4.5033,Female,22,115
effortobserve,2349,31940,Value,15,Low,30,30,1,Value,2.937037037,1.8211,Female,22,115
effortobserve,2349,31940,Value,16,High,270,270,1,Value,2.788888889,2.1362,Female,22,115
effortobserve,2349,31940,Value,17,Low,30,30,1,Value,1,5.1382,Female,22,115
effortobserve,2349,31940,Value,18,Medium,100,30,0,Value,1.003703704,2.793,Female,22,115
effortobserve,2349,32132,Value,1,Low,30,30,1,Value,2.980246914,6.5259,Male,21,198
effortobserve,2349,32132,Value,2,Medium,100,100,1,Value,4.017283951,3.3242,Male,21,198
effortobserve,2349,32132,Value,3,High,270,270,1,Value,4.930864198,1.7952,Male,21,198
effortobserve,2349,32132,Value,4,Low,30,30,1,Value,1.933333333,1.5283,Male,21,198
effortobserve,2349,32132,Value,5,High,270,270,1,Value,4.032098765,1.9985,Male,21,198
effortobserve,2349,32132,Value,6,Medium,100,100,1,Value,3.014814815,2.1209,Male,21,198
effortobserve,2349,32132,Value,7,High,270,270,1,Value,3.92345679,1.1883,Male,21,198
effortobserve,2349,32132,Value,8,Medium,100,100,1,Value,2.990123457,0.7053,Male,21,198
effortobserve,2349,32132,Value,9,Low,30,30,1,Value,2.061728395,0.6997,Male,21,198
effortobserve,2349,32132,Value,10,Medium,100,100,1,Value,2.545679012,3.7492,Male,21,198
effortobserve,2349,32132,Value,11,Low,30,30,1,Value,1.735802469,3.239,Male,21,198
effortobserve,2349,32132,Value,12,High,270,270,1,Value,4.6,2.0488,Male,21,198
effortobserve,2349,32132,Value,13,Medium,100,100,1,Value,3.128395062,3.9864,Male,21,198
effortobserve,2349,32132,Value,14,High,270,270,1,Value,4.486419753,1.3332,Male,21,198
effortobserve,2349,32132,Value,15,Low,30,30,1,Value,1.533333333,2.3571,Male,21,198
effortobserve,2349,32132,Value,16,High,270,270,1,Value,4.17037037,1.4448,Male,21,198
effortobserve,2349,32132,Value,17,Low,30,30,1,Value,1.503703704,0.804,Male,21,198
effortobserve,2349,32132,Value,18,Medium,100,100,1,Value,2.733333333,3.4868,Male,21,198
effortobserve,2349,32685,Value,1,Low,30,30,1,Value,3.021967593,6.5451,Female,20,219
effortobserve,2349,32685,Value,2,Medium,100,100,1,Value,1.000787037,4.6227,Female,20,219
effortobserve,2349,32685,Value,3,High,270,270,1,Value,2.669074074,6.8559,Female,20,219
effortobserve,2349,32685,Value,4,Low,30,30,1,Value,2.999930556,3.4823,Female,20,219
effortobserve,2349,32685,Value,5,High,270,270,1,Value,2.693055556,2.2923,Female,20,219
effortobserve,2349,32685,Value,6,Medium,100,100,1,Value,1.014467593,2.6786,Female,20,219
effortobserve,2349,32685,Value,7,High,270,270,1,Value,2.715648148,1.8728,Female,20,219
effortobserve,2349,32685,Value,8,Medium,100,100,1,Value,1.009212963,1.9775,Female,20,219
effortobserve,2349,32685,Value,9,Low,30,30,1,Value,2.987638889,1.8297,Female,20,219
effortobserve,2349,32685,Value,10,Medium,100,100,1,Value,1.03224537,1.8782,Female,20,219
effortobserve,2349,32685,Value,11,Low,30,30,1,Value,2.987337963,2.7075,Female,20,219
effortobserve,2349,32685,Value,12,High,270,270,1,Value,2.737569444,1.4791,Female,20,219
effortobserve,2349,32685,Value,13,Medium,100,100,1,Value,1.01625,1.1818,Female,20,219
effortobserve,2349,32685,Value,14,High,270,270,1,Value,2.732523148,2.7431,Female,20,219
effortobserve,2349,32685,Value,15,Low,30,30,1,Value,2.982592593,1.5785,Female,20,219
effortobserve,2349,32685,Value,16,High,270,270,1,Value,2.816828704,1.6406,Female,20,219
effortobserve,2349,32685,Value,17,Low,30,30,1,Value,3.010625,2.131,Female,20,219
effortobserve,2349,32685,Value,18,Medium,100,100,1,Value,1.00525463,3.9781,Female,20,219
effortobserve,2349,33035,Value,1,Low,30,30,1,Value,1.977777778,14.9585,Male,21,152
effortobserve,2349,33035,Value,2,Medium,100,100,1,Value,2.6,10.8108,Male,21,152
effortobserve,2349,33035,Value,3,High,270,270,1,Value,3.197530864,2.7051,Male,21,152
effortobserve,2349,33035,Value,4,Low,30,30,1,Value,1.958024691,1.4367,Male,21,152
effortobserve,2349,33035,Value,5,High,270,270,1,Value,2.362962963,7.6159,Male,21,152
effortobserve,2349,33035,Value,6,Medium,100,100,1,Value,1.641975309,3.2158,Male,21,152
effortobserve,2349,33035,Value,7,High,270,270,1,Value,2.081481481,5.9138,Male,21,152
effortobserve,2349,33035,Value,8,Medium,100,100,1,Value,2.609876543,3.1772,Male,21,152
effortobserve,2349,33035,Value,9,Low,30,30,1,Value,1.641975309,0.5753,Male,21,152
effortobserve,2349,33035,Value,10,Medium,100,100,1,Value,2.017283951,0.8245,Male,21,152
effortobserve,2349,33035,Value,11,Low,30,30,1,Value,1.548148148,1.7712,Male,21,152
effortobserve,2349,33035,Value,12,High,270,270,1,Value,2.792592593,1.7698,Male,21,152
effortobserve,2349,33035,Value,13,Medium,100,100,1,Value,2.674074074,1.8122,Male,21,152
effortobserve,2349,33035,Value,14,High,270,270,1,Value,2.585185185,0.8085,Male,21,152
effortobserve,2349,33035,Value,15,Low,30,30,1,Value,1.533333333,4.594,Male,21,152
effortobserve,2349,33035,Value,16,High,270,270,1,Value,2.402469136,2.7145,Male,21,152
effortobserve,2349,33035,Value,17,Low,30,30,1,Value,1.42962963,2.0546,Male,21,152
effortobserve,2349,33035,Value,18,Medium,100,100,1,Value,1.745679012,3.9847,Male,21,152
effortobserve,2349,33392,Value,1,Low,30,30,1,Value,1.021527778,3.2796,Female,20,103
effortobserve,2349,33392,Value,2,Medium,100,100,1,Value,1.570833333,2.0684,Female,20,103
effortobserve,2349,33392,Value,3,High,270,270,1,Value,1.996805556,2.2828,Female,20,103
effortobserve,2349,33392,Value,4,Low,30,30,1,Value,1.011828704,1.6548,Female,20,103
effortobserve,2349,33392,Value,5,High,270,270,1,Value,1.964930556,4.7114,Female,20,103
effortobserve,2349,33392,Value,6,Medium,100,100,1,Value,1.518981481,1.1124,Female,20,103
effortobserve,2349,33392,Value,7,High,270,270,1,Value,1.944884259,3.3261,Female,20,103
effortobserve,2349,33392,Value,8,Medium,100,100,1,Value,1.280347222,2.0867,Female,20,103
effortobserve,2349,33392,Value,9,Low,30,30,1,Value,1.011805556,1.1212,Female,20,103
effortobserve,2349,33392,Value,10,Medium,100,100,1,Value,1.523518519,1.4638,Female,20,103
effortobserve,2349,33392,Value,11,Low,30,30,1,Value,1.002847222,0.8834,Female,20,103
effortobserve,2349,33392,Value,12,High,270,270,1,Value,1.892962963,1.4227,Female,20,103
effortobserve,2349,33392,Value,13,Medium,100,100,1,Value,1.576921296,1.2955,Female,20,103
effortobserve,2349,33392,Value,14,High,270,270,1,Value,2.100231481,1.1272,Female,20,103
effortobserve,2349,33392,Value,15,Low,30,30,1,Value,1.002291667,1.6294,Female,20,103
effortobserve,2349,33392,Value,16,High,270,270,1,Value,1.990902778,2.1412,Female,20,103
effortobserve,2349,33392,Value,17,Low,30,30,1,Value,1.164398148,5.1416,Female,20,103
effortobserve,2349,33392,Value,18,Medium,100,100,1,Value,1.98650463,1.4978,Female,20,103
effortobserve,2349,33461,Liking,1,Low,30,30,1,Liking,2.977546296,6.7196,Female,21,113
effortobserve,2349,33461,Liking,2,Medium,100,100,1,Liking,3.977222222,1.8083,Female,21,113
effortobserve,2349,33461,Liking,3,High,270,270,1,Liking,3.962893519,2.6359,Female,21,113
effortobserve,2349,33461,Liking,4,Low,30,30,1,Liking,1,2.4453,Female,21,113
effortobserve,2349,33461,Liking,5,High,270,270,1,Liking,1.933449074,1.4262,Female,21,113
effortobserve,2349,33461,Liking,6,Medium,100,100,1,Liking,3.174861111,1.6563,Female,21,113
effortobserve,2349,33461,Liking,7,High,270,270,1,Liking,1.519212963,1.2241,Female,21,113
effortobserve,2349,33461,Liking,8,Medium,100,100,1,Liking,3.012847222,2.1803,Female,21,113
effortobserve,2349,33461,Liking,9,Low,30,30,1,Liking,3.479953704,1.3856,Female,21,113
effortobserve,2349,33461,Liking,10,Medium,100,100,1,Liking,3.029722222,0.6939,Female,21,113
effortobserve,2349,33461,Liking,11,Low,30,30,1,Liking,1.151342593,1.5416,Female,21,113
effortobserve,2349,33461,Liking,12,High,270,270,1,Liking,4.281689815,1.2235,Female,21,113
effortobserve,2349,33461,Liking,13,Medium,100,100,1,Liking,4.993564815,1.0321,Female,21,113
effortobserve,2349,33461,Liking,14,High,270,270,1,Liking,2.099212963,2.4378,Female,21,113
effortobserve,2349,33461,Liking,15,Low,30,30,1,Liking,3.237083333,1.1255,Female,21,113
effortobserve,2349,33461,Liking,16,High,270,270,1,Liking,4.405,1.9597,Female,21,113
effortobserve,2349,33461,Liking,17,Low,30,30,1,Liking,1.691597222,1.4865,Female,21,113
effortobserve,2349,33461,Liking,18,Medium,100,100,1,Liking,3.712407407,1.2025,Female,21,113
effortobserve,2349,33558,Liking,1,Low,30,30,1,Liking,3.316049458,4.4532,Male,21,251
effortobserve,2349,33558,Liking,2,Medium,100,100,1,Liking,1.849382942,3.6041,Male,21,251
effortobserve,2349,33558,Liking,3,High,270,270,1,Liking,4.614814664,0.8408,Male,21,251
effortobserve,2349,33558,Liking,4,Low,30,30,1,Liking,4.244444671,1.2674,Male,21,251
effortobserve,2349,33558,Liking,5,High,270,270,1,Liking,4.920988106,0.8518,Male,21,251
effortobserve,2349,33558,Liking,6,Medium,100,100,1,Liking,4.496296447,0.7865,Male,21,251
effortobserve,2349,33558,Liking,7,High,270,270,1,Liking,2.377777853,0.8798,Male,21,251
effortobserve,2349,33558,Liking,8,Medium,100,100,1,Liking,1.088888851,0.9482,Male,21,251
effortobserve,2349,33558,Liking,9,Low,30,30,1,Liking,1.237036999,1.6948,Male,21,251
effortobserve,2349,33558,Liking,10,Medium,100,100,1,Liking,3.320987654,0.5191,Male,21,251
effortobserve,2349,33558,Liking,11,Low,30,30,1,Liking,3.177777702,0.4878,Male,21,251
effortobserve,2349,33558,Liking,12,High,270,270,1,Liking,4.511111036,0.6271,Male,21,251
effortobserve,2349,33558,Liking,13,Medium,100,100,1,Liking,4.935802318,0.4998,Male,21,251
effortobserve,2349,33558,Liking,14,High,270,270,1,Liking,4.87654321,0.92490000000000006,Male,21,251
effortobserve,2349,33558,Liking,15,Low,30,30,1,Liking,2.422222373,1.4379,Male,21,251
effortobserve,2349,33558,Liking,16,High,270,270,1,Liking,2.728395062,0.6606,Male,21,251
effortobserve,2349,33558,Liking,17,Low,30,30,1,Liking,3.21234583,2.2017,Male,21,251
effortobserve,2349,33558,Liking,18,Medium,100,100,1,Liking,3.632098916,0.71,Male,21,251
effortobserve,2349,33954,Liking,1,Low,30,30,1,Liking,2.086419753,5.0306,Female,21,141
effortobserve,2349,33954,Liking,2,Medium,100,100,1,Liking,1.962962963,2.0821,Female,21,141
effortobserve,2349,33954,Liking,3,High,270,270,1,Liking,3.617283951,0.7885,Female,21,141
effortobserve,2349,33954,Liking,4,Low,30,30,1,Liking,2.274074225,1.6686,Female,21,141
effortobserve,2349,33954,Liking,5,High,270,270,1,Liking,4.491358251,0.6311,Female,21,141
effortobserve,2349,33954,Liking,6,Medium,100,100,1,Liking,1.261728357,1.1415,Female,21,141
effortobserve,2349,33954,Liking,7,High,270,270,1,Liking,1,1.6448,Female,21,141
effortobserve,2349,33954,Liking,8,Medium,100,100,1,Liking,1.730864348,1.8487,Female,21,141
effortobserve,2349,33954,Liking,9,Low,30,30,1,Liking,1.276543323,0.6058,Female,21,141
effortobserve,2349,33954,Liking,10,Medium,100,100,1,Liking,1.325926039,0.573,Female,21,141
effortobserve,2349,33954,Liking,11,Low,30,30,1,Liking,1.177777891,0.9132,Female,21,141
effortobserve,2349,33954,Liking,12,High,270,270,1,Liking,1.074074074,1.5469,Female,21,141
effortobserve,2349,33954,Liking,13,Medium,100,100,1,Liking,3.217284026,0.4956,Female,21,141
effortobserve,2349,33954,Liking,14,High,270,270,1,Liking,1.780247064,0.7428,Female,21,141
effortobserve,2349,33954,Liking,15,Low,30,30,1,Liking,1.903703854,0.5264,Female,21,141
effortobserve,2349,33954,Liking,16,High,270,270,1,Liking,2.841975459,0.4752,Female,21,141
effortobserve,2349,33954,Liking,17,Low,30,30,1,Liking,1.04444452,0.4828,Female,21,141
effortobserve,2349,33954,Liking,18,Medium,100,100,1,Liking,1.04444452,0.6597,Female,21,141
effortobserve,2349,33966,Liking,1,Low,30,30,1,Liking,3.005733507,4.7482,Female,21,203
effortobserve,2349,33966,Liking,2,Medium,100,100,1,Liking,3.465263672,2.1408,Female,21,203
effortobserve,2349,33966,Liking,3,High,270,270,1,Liking,1.860775825,0.8078,Female,21,203
effortobserve,2349,33966,Liking,4,Low,30,30,1,Liking,2.781634115,1.3915,Female,21,203
effortobserve,2349,33966,Liking,5,High,270,270,1,Liking,3.966291233,0.9912,Female,21,203
effortobserve,2349,33966,Liking,6,Medium,100,100,1,Liking,4.485480686,1.1734,Female,21,203
effortobserve,2349,33966,Liking,7,High,270,270,1,Liking,1.803607133,0.589,Female,21,203
effortobserve,2349,33966,Liking,8,Medium,100,100,1,Liking,2.931729962,1.3071,Female,21,203
effortobserve,2349,33966,Liking,9,Low,30,30,1,Liking,3.505530237,0.8417,Female,21,203
effortobserve,2349,33966,Liking,10,Medium,100,100,1,Liking,4.349168475,1.0903,Female,21,203
effortobserve,2349,33966,Liking,11,Low,30,30,1,Liking,4.958946759,1.2738,Female,21,203
effortobserve,2349,33966,Liking,12,High,270,270,1,Liking,3.921191406,0.7733,Female,21,203
effortobserve,2349,33966,Liking,13,Medium,100,100,1,Liking,3.526993996,0.6881,Female,21,203
effortobserve,2349,33966,Liking,14,High,270,270,1,Liking,4.983942419,0.7217,Female,21,203
effortobserve,2349,33966,Liking,15,Low,30,30,1,Liking,2.335562789,1.6242,Female,21,203
effortobserve,2349,33966,Liking,16,High,270,270,1,Liking,1.681752568,0.6569,Female,21,203
effortobserve,2349,33966,Liking,17,Low,30,30,1,Liking,4.966422888,0.7746,Female,21,203
effortobserve,2349,33966,Liking,18,Medium,100,100,1,Liking,3.454492911,0.7585,Female,21,203
effortobserve,2349,34331,Liking,1,Low,30,30,1,Liking,1.962962963,6.466,Female,21,161
effortobserve,2349,34331,Liking,2,Medium,100,100,1,Liking,1.962962963,2.573,Female,21,161
effortobserve,2349,34331,Liking,3,High,270,270,1,Liking,3.069135802,1.472,Female,21,161
