experiment_name,id,gender,age,belief_liking,belief_value
ratingclicks_within,42573,Female,21,More,More
ratingclicks_within,40119,Female,21,No Difference,No Difference
ratingclicks_within,51159,Male,19,More,More
ratingclicks_within,49411,Female,20,Less,More
ratingclicks_within,42327,Female,22,No Difference,More
ratingclicks_within,48336,Male,20,More,More
ratingclicks_within,54368,Female,19,No Difference,No Difference
ratingclicks_within,51752,Other,21,More,More
ratingclicks_within,54386,Female,18,More,More
ratingclicks_within,45438,Male,25,More,No Difference
ratingclicks_within,41409,Female,21,More,More
ratingclicks_within,44074,Male,22,More,More
ratingclicks_within,54683,Female,18,More,More
ratingclicks_within,45227,Female,20,Less,More
ratingclicks_within,45424,Female,20,Less,More
ratingclicks_within,51892,Female,19,No Difference,Less
ratingclicks_within,40306,Female,21,More,Less
ratingclicks_within,41798,Female,21,No Difference,No Difference
ratingclicks_within,43630,Female,21,No Difference,No Difference
ratingclicks_within,41008,Female,21,More,More
ratingclicks_within,54198,Female,18,Less,More
ratingclicks_within,47581,Female,20,No Difference,More
ratingclicks_within,49759,Female,35,No Difference,More
ratingclicks_within,50441,Female,19,More,More
ratingclicks_within,42665,Female,21,No Difference,More
ratingclicks_within,54251,Female,20,No Difference,No Difference
ratingclicks_within,54673,Female,18,More,More
ratingclicks_within,53733,Female,18,Less,More
ratingclicks_within,46921,Female,20,More,More
ratingclicks_within,54715,Male,21,Less,No Difference
ratingclicks_within,46915,Female,19,No Difference,No Difference
ratingclicks_within,44805,Female,19,More,More
ratingclicks_within,40540,Female,21,No Difference,No Difference
ratingclicks_within,53486,Female,20,No Difference,More
ratingclicks_within,43378,Female,21,More,No Difference
ratingclicks_within,46358,Male,19,Less,More
ratingclicks_within,46770,Female,20,Less,More
ratingclicks_within,47844,Female,20,Less,More
ratingclicks_within,54606,Female,18,More,More
ratingclicks_within,42227,Female,21,Less,More
ratingclicks_within,47217,Female,21,More,More
ratingclicks_within,51285,Female,20,No Difference,No Difference
ratingclicks_within,39830,Female,22,Less,Less
ratingclicks_within,54508,Female,28,No Difference,More
ratingclicks_within,42474,Female,21,No Difference,More
ratingclicks_within,46969,Female,20,More,More
ratingclicks_within,53187,Female,20,No Difference,More
ratingclicks_within,49670,Female,21,Less,More
ratingclicks_within,51070,Female,20,No Difference,No Difference
ratingclicks_within,46373,Female,21,More,No Difference
ratingclicks_within,45634,Female,20,Less,Less
ratingclicks_within,51364,Female,18,More,No Difference
ratingclicks_within,49715,Female,19,No Difference,More
ratingclicks_within,42358,Other,20,More,Less
ratingclicks_within,48664,Female,20,More,Less
ratingclicks_within,54493,Female,18,No Difference,No Difference
ratingclicks_within,50132,Female,29,No Difference,More
ratingclicks_within,48163,Female,18,More,More
ratingclicks_within,51406,Female,18,Less,More
ratingclicks_within,53335,Female,19,No Difference,More
ratingclicks_within,46038,Female,20,More,More
ratingclicks_within,42569,Female,21,Less,More
ratingclicks_within,45263,Female,20,No Difference,No Difference
ratingclicks_within,42575,Female,21,Less,More
ratingclicks_within,41425,Female,21,No Difference,Less
ratingclicks_within,53724,Male,20,No Difference,No Difference
ratingclicks_within,51224,Male,22,No Difference,More
ratingclicks_within,54765,Female,20,No Difference,No Difference
ratingclicks_within,53994,Female,20,More,More
ratingclicks_within,52387,Male,30,Less,Less
ratingclicks_within,40987,Female,21,No Difference,No Difference
ratingclicks_within,42511,Female,21,No Difference,More
ratingclicks_within,54616,Female,19,No Difference,More
ratingclicks_within,47556,Female,20,More,More
ratingclicks_within,44270,Female,21,No Difference,More
ratingclicks_within,51456,Female,19,Less,More
ratingclicks_within,48666,Female,22,More,No Difference
ratingclicks_within,45245,Other,20,Less,No Difference
ratingclicks_within,52929,Male,19,More,More
ratingclicks_within,52789,Female,19,Less,More
ratingclicks_within,53396,Female,19,More,More
ratingclicks_within,54727,Other,36,More,More
ratingclicks_within,54769,Male,18,More,More
ratingclicks_within,54615,Female,18,More,More
ratingclicks_within,43867,Female,20,More,More
ratingclicks_within,42006,Female,21,No Difference,No Difference
ratingclicks_within,54041,Female,19,Less,Less
ratingclicks_within,51389,Male,19,More,More
ratingclicks_within,44813,Male,21,No Difference,No Difference
ratingclicks_within,52176,Female,19,More,More
ratingclicks_within,54711,Female,22,More,More
ratingclicks_within,53805,Female,18,No Difference,More
ratingclicks_within,45155,Female,20,Less,More
ratingclicks_within,45610,Female,20,No Difference,More
ratingclicks_within,45272,Female,20,Less,No Difference
ratingclicks_within,53978,Female,18,No Difference,No Difference
ratingclicks_within,47684,Female,21,No Difference,No Difference
ratingclicks_within,54551,Female,19,More,More
ratingclicks_within,41515,Female,21,Less,More
ratingclicks_within,49645,Female,21,Less,Less
ratingclicks_within,54250,Female,19,Less,More
ratingclicks_within,41399,Female,21,More,More
ratingclicks_within,50217,Female,19,Less,More
ratingclicks_within,38374,Female,22,More,More
ratingclicks_within,48614,Male,20,No Difference,More
ratingclicks_within,46867,Female,20,No Difference,No Difference
ratingclicks_within,52237,Female,20,Less,More
ratingclicks_within,43775,Female,21,Less,Less
ratingclicks_within,51377,Female,19,More,More
ratingclicks_within,53842,Female,19,No Difference,No Difference
ratingclicks_within,48215,Female,20,More,More
ratingclicks_within,45785,Female,20,More,More
ratingclicks_within,47250,Female,20,More,Less
ratingclicks_within,52609,Female,19,Less,More
ratingclicks_within,48142,Male,20,No Difference,More
ratingclicks_within,43602,Female,21,More,No Difference
ratingclicks_within,50693,Female,21,No Difference,More
ratingclicks_within,52551,Male,19,No Difference,No Difference
ratingclicks_within,46082,Female,20,Less,More
ratingclicks_within,48331,Male,20,Less,Less
ratingclicks_within,54812,Female,19,No Difference,No Difference
ratingclicks_within,49929,Female,21,More,More
ratingclicks_within,47022,Female,20,Less,More
ratingclicks_within,46232,Female,21,No Difference,More
ratingclicks_within,43387,Female,21,More,More
ratingclicks_within,45287,Female,20,No Difference,More
ratingclicks_within,49771,Female,21,No Difference,No Difference
ratingclicks_within,48656,Female,21,No Difference,More
ratingclicks_within,45027,Female,20,Less,Less
ratingclicks_within,41500,Female,21,More,More
ratingclicks_within,43622,Female,21,More,More
ratingclicks_within,50399,Male,19,More,More
ratingclicks_within,40930,Female,21,More,More
ratingclicks_within,49846,Male,21,More,More
ratingclicks_within,54582,Female,18,Less,No Difference
