perspective,id,rt,gender,nasa_tlx,effort_steps,condition,trial,effort_level,rating,steps_req,age,adjusted_overall,experiment_name,effort_ans,scale_type
Perform,5,4.26,NA,275,272,Liking,5,High,3,270,NA,61.666666666666664,NA,NA,NA
Perform,5,4.91,NA,275,99,Liking,6,Medium,3,100,NA,61.666666666666664,NA,NA,NA
Perform,5,2.734,NA,275,269,Liking,7,High,2,270,NA,61.666666666666664,NA,NA,NA
Perform,5,1.247,NA,275,100,Liking,8,Medium,4,100,NA,61.666666666666664,NA,NA,NA
Perform,5,3.913,NA,275,31,Liking,9,Low,5,30,NA,61.666666666666664,NA,NA,NA
Perform,5,2.558,NA,275,98,Liking,10,Medium,3,100,NA,61.666666666666664,NA,NA,NA
Perform,5,1.704,NA,275,30,Liking,11,Low,5,30,NA,61.666666666666664,NA,NA,NA
Perform,5,1.289,NA,275,275,Liking,12,High,1,270,NA,61.666666666666664,NA,NA,NA
Perform,5,3.686,NA,275,99,Liking,13,Medium,3,100,NA,61.666666666666664,NA,NA,NA
Perform,5,2.1,NA,275,270,Liking,14,High,2,270,NA,61.666666666666664,NA,NA,NA
Perform,5,1.448,NA,275,30,Liking,15,Low,5,30,NA,61.666666666666664,NA,NA,NA
Perform,5,10.706,NA,275,272,Liking,16,High,4,270,NA,61.666666666666664,NA,NA,NA
Perform,5,5.043,NA,275,31,Liking,17,Low,3,30,NA,61.666666666666664,NA,NA,NA
Perform,5,3.554,NA,275,100,Liking,18,Medium,4,100,NA,61.666666666666664,NA,NA,NA
Perform,6,3.649,Female,245,32,Wanting,1,Low,1,30,20,61,NA,NA,NA
Perform,6,2.009,Female,245,102,Wanting,2,Medium,2,100,20,61,NA,NA,NA
Perform,6,3.646,Female,245,274,Wanting,3,High,5,270,20,61,NA,NA,NA
Perform,6,2.88,Female,245,35,Wanting,4,Low,2,30,20,61,NA,NA,NA
Perform,6,2.153,Female,245,273,Wanting,5,High,1,270,20,61,NA,NA,NA
Perform,6,2.957,Female,245,103,Wanting,6,Medium,2,100,20,61,NA,NA,NA
Perform,6,2.865,Female,245,272,Wanting,7,High,2,270,20,61,NA,NA,NA
Perform,6,2.345,Female,245,104,Wanting,8,Medium,4,100,20,61,NA,NA,NA
Perform,6,1.942,Female,245,32,Wanting,9,Low,4,30,20,61,NA,NA,NA
Perform,6,1.969,Female,245,103,Wanting,10,Medium,3,100,20,61,NA,NA,NA
Perform,6,1.797,Female,245,34,Wanting,11,Low,2,30,20,61,NA,NA,NA
Perform,6,5.098,Female,245,293,Wanting,12,High,4,270,20,61,NA,NA,NA
Perform,6,3.856,Female,245,103,Wanting,13,Medium,1,100,20,61,NA,NA,NA
Perform,6,3.23,Female,245,273,Wanting,14,High,1,270,20,61,NA,NA,NA
Perform,6,2.541,Female,245,32,Wanting,15,Low,3,30,20,61,NA,NA,NA
Perform,6,2.431,Female,245,274,Wanting,16,High,4,270,20,61,NA,NA,NA
Perform,6,2.38,Female,245,32,Wanting,17,Low,1,30,20,61,NA,NA,NA
Perform,6,2.539,Female,245,104,Wanting,18,Medium,3,100,20,61,NA,NA,NA
Perform,7,5.261,NA,275,29,Value,1,Low,1,30,NA,57,NA,NA,NA
Perform,7,4.653,NA,275,99,Value,2,Medium,3,100,NA,57,NA,NA,NA
Perform,7,7.209,NA,275,267,Value,3,High,5,270,NA,57,NA,NA,NA
Perform,7,14.623,NA,275,46,Value,4,Low,1,30,NA,57,NA,NA,NA
Perform,7,5.724,NA,275,273,Value,5,High,4,270,NA,57,NA,NA,NA
Perform,7,1.125,NA,275,98,Value,6,Medium,3,100,NA,57,NA,NA,NA
Perform,7,2.777,NA,275,269,Value,7,High,5,270,NA,57,NA,NA,NA
Perform,7,1.338,NA,275,100,Value,8,Medium,3,100,NA,57,NA,NA,NA
Perform,7,1.786,NA,275,32,Value,9,Low,1,30,NA,57,NA,NA,NA
Perform,7,1.739,NA,275,100,Value,10,Medium,4,100,NA,57,NA,NA,NA
Perform,7,2.586,NA,275,34,Value,11,Low,1,30,NA,57,NA,NA,NA
Perform,7,2.932,NA,275,271,Value,12,High,4,270,NA,57,NA,NA,NA
Perform,7,3.852,NA,275,102,Value,13,Medium,3,100,NA,57,NA,NA,NA
Perform,7,4.025,NA,275,274,Value,14,High,4,270,NA,57,NA,NA,NA
Perform,7,3.426,NA,275,31,Value,15,Low,1,30,NA,57,NA,NA,NA
Perform,7,2.555,NA,275,270,Value,16,High,5,270,NA,57,NA,NA,NA
Perform,7,2.046,NA,275,30,Value,17,Low,1,30,NA,57,NA,NA,NA
Perform,7,2.428,NA,275,106,Value,18,Medium,2,100,NA,57,NA,NA,NA
Perform,8,5.512,Male,125,32,Wanting,1,Low,5,30,22,27,NA,NA,NA
Perform,8,4.744,Male,125,101,Wanting,2,Medium,4,100,22,27,NA,NA,NA
Perform,8,6.292,Male,125,271,Wanting,3,High,2,270,22,27,NA,NA,NA
Perform,8,4.373,Male,125,31,Wanting,4,Low,3,30,22,27,NA,NA,NA
Perform,8,4.515,Male,125,269,Wanting,5,High,2,270,22,27,NA,NA,NA
Perform,8,3.549,Male,125,116,Wanting,6,Medium,3,100,22,27,NA,NA,NA
Perform,8,2.311,Male,125,269,Wanting,7,High,3,270,22,27,NA,NA,NA
Perform,8,2.811,Male,125,100,Wanting,8,Medium,2,100,22,27,NA,NA,NA
Perform,8,3.895,Male,125,31,Wanting,9,Low,3,30,22,27,NA,NA,NA
Perform,8,3.693,Male,125,100,Wanting,10,Medium,2,100,22,27,NA,NA,NA
Perform,8,2.951,Male,125,31,Wanting,11,Low,3,30,22,27,NA,NA,NA
Perform,8,4.54,Male,125,271,Wanting,12,High,4,270,22,27,NA,NA,NA
Perform,8,2.584,Male,125,101,Wanting,13,Medium,3,100,22,27,NA,NA,NA
Perform,8,3.23,Male,125,270,Wanting,14,High,2,270,22,27,NA,NA,NA
Perform,8,3.262,Male,125,31,Wanting,15,Low,3,30,22,27,NA,NA,NA
Perform,8,5.518,Male,125,270,Wanting,16,High,2,270,22,27,NA,NA,NA
Perform,8,3.882,Male,125,29,Wanting,17,Low,3,30,22,27,NA,NA,NA
Perform,8,7.271,Male,125,103,Wanting,18,Medium,3,100,22,27,NA,NA,NA
Perform,9,3.261,NA,300,32,Liking,1,Low,4,30,NA,55.666666666666664,NA,NA,NA
Perform,9,5.232,NA,300,102,Liking,2,Medium,5,100,NA,55.666666666666664,NA,NA,NA
Perform,9,7.548,NA,300,272,Liking,3,High,5,270,NA,55.666666666666664,NA,NA,NA
Perform,9,4.148,NA,300,31,Liking,4,Low,5,30,NA,55.666666666666664,NA,NA,NA
Perform,9,7.347,NA,300,275,Liking,5,High,1,270,NA,55.666666666666664,NA,NA,NA
Perform,9,5.411,NA,300,103,Liking,6,Medium,2,100,NA,55.666666666666664,NA,NA,NA
Perform,9,3.154,NA,300,272,Liking,7,High,5,270,NA,55.666666666666664,NA,NA,NA
Perform,9,2.402,NA,300,99,Liking,8,Medium,4,100,NA,55.666666666666664,NA,NA,NA
Perform,9,2.089,NA,300,31,Liking,9,Low,5,30,NA,55.666666666666664,NA,NA,NA
Perform,9,6.316,NA,300,119,Liking,10,Medium,5,100,NA,55.666666666666664,NA,NA,NA
Perform,9,3.478,NA,300,32,Liking,11,Low,4,30,NA,55.666666666666664,NA,NA,NA
Perform,9,6.461,NA,300,270,Liking,12,High,2,270,NA,55.666666666666664,NA,NA,NA
Perform,9,2.215,NA,300,101,Liking,13,Medium,3,100,NA,55.666666666666664,NA,NA,NA
Perform,9,3.405,NA,300,273,Liking,14,High,1,270,NA,55.666666666666664,NA,NA,NA
Perform,9,3.496,NA,300,31,Liking,15,Low,4,30,NA,55.666666666666664,NA,NA,NA
Perform,9,2.777,NA,300,271,Liking,16,High,1,270,NA,55.666666666666664,NA,NA,NA
Perform,9,1.419,NA,300,31,Liking,17,Low,5,30,NA,55.666666666666664,NA,NA,NA
Perform,9,1.708,NA,300,100,Liking,18,Medium,2,100,NA,55.666666666666664,NA,NA,NA
Perform,10,2.724,Female,460,30,Wanting,1,Low,5,30,28,89.33333333333333,NA,NA,NA
Perform,10,15.493,Female,460,102,Wanting,2,Medium,4,100,28,89.33333333333333,NA,NA,NA
Perform,10,9.678,Female,460,272,Wanting,3,High,3,270,28,89.33333333333333,NA,NA,NA
Perform,10,3.374,Female,460,34,Wanting,4,Low,5,30,28,89.33333333333333,NA,NA,NA
Perform,10,7.535,Female,460,271,Wanting,5,High,1,270,28,89.33333333333333,NA,NA,NA
Perform,10,9.8,Female,460,100,Wanting,6,Medium,2,100,28,89.33333333333333,NA,NA,NA
Perform,10,3.052,Female,460,270,Wanting,7,High,3,270,28,89.33333333333333,NA,NA,NA
Perform,10,5.815,Female,460,100,Wanting,8,Medium,5,100,28,89.33333333333333,NA,NA,NA
Perform,10,4.507,Female,460,30,Wanting,9,Low,1,30,28,89.33333333333333,NA,NA,NA
Perform,10,11.13,Female,460,101,Wanting,10,Medium,4,100,28,89.33333333333333,NA,NA,NA
Perform,10,2.964,Female,460,29,Wanting,11,Low,5,30,28,89.33333333333333,NA,NA,NA
Perform,10,4.271,Female,460,272,Wanting,12,High,5,270,28,89.33333333333333,NA,NA,NA
Perform,10,3.062,Female,460,98,Wanting,13,Medium,5,100,28,89.33333333333333,NA,NA,NA
Perform,10,3.674,Female,460,270,Wanting,14,High,1,270,28,89.33333333333333,NA,NA,NA
Perform,10,4.669,Female,460,31,Wanting,15,Low,1,30,28,89.33333333333333,NA,NA,NA
Perform,10,4.459,Female,460,269,Wanting,16,High,1,270,28,89.33333333333333,NA,NA,NA
Perform,10,2.76,Female,460,30,Wanting,17,Low,1,30,28,89.33333333333333,NA,NA,NA
Perform,10,7.824,Female,460,105,Wanting,18,Medium,1,100,28,89.33333333333333,NA,NA,NA
Perform,11,6.195,Female,375,58,Wanting,1,Low,2,30,19,63.666666666666664,NA,NA,NA
Perform,11,3.513,Female,375,100,Wanting,2,Medium,1,100,19,63.666666666666664,NA,NA,NA
Perform,11,27.796,Female,375,319,Wanting,3,High,2,270,19,63.666666666666664,NA,NA,NA
Perform,11,4.466,Female,375,34,Wanting,4,Low,1,30,19,63.666666666666664,NA,NA,NA
Perform,11,2.545,Female,375,270,Wanting,5,High,1,270,19,63.666666666666664,NA,NA,NA
Perform,11,3.657,Female,375,103,Wanting,6,Medium,1,100,19,63.666666666666664,NA,NA,NA
Perform,11,2.473,Female,375,272,Wanting,7,High,1,270,19,63.666666666666664,NA,NA,NA
Perform,11,2.391,Female,375,104,Wanting,8,Medium,1,100,19,63.666666666666664,NA,NA,NA
Perform,11,2.7,Female,375,39,Wanting,9,Low,1,30,19,63.666666666666664,NA,NA,NA
Perform,11,1.732,Female,375,105,Wanting,10,Medium,1,100,19,63.666666666666664,NA,NA,NA
Perform,11,2.303,Female,375,44,Wanting,11,Low,1,30,19,63.666666666666664,NA,NA,NA
Perform,11,2.142,Female,375,270,Wanting,12,High,1,270,19,63.666666666666664,NA,NA,NA
Perform,11,2.562,Female,375,103,Wanting,13,Medium,1,100,19,63.666666666666664,NA,NA,NA
Perform,11,2.331,Female,375,276,Wanting,14,High,1,270,19,63.666666666666664,NA,NA,NA
Perform,11,1.861,Female,375,33,Wanting,15,Low,1,30,19,63.666666666666664,NA,NA,NA
Perform,11,1.663,Female,375,271,Wanting,16,High,5,270,19,63.666666666666664,NA,NA,NA
Perform,11,1.879,Female,375,32,Wanting,17,Low,5,30,19,63.666666666666664,NA,NA,NA
Perform,11,3.176,Female,375,103,Wanting,18,Medium,5,100,19,63.666666666666664,NA,NA,NA
Perform,12,2.778,Female,280,32,Wanting,1,Low,4,30,19,55.333333333333336,NA,NA,NA
Perform,12,3.559,Female,280,102,Wanting,2,Medium,5,100,19,55.333333333333336,NA,NA,NA
Perform,12,4.395,Female,280,272,Wanting,3,High,2,270,19,55.333333333333336,NA,NA,NA
Perform,12,2.248,Female,280,33,Wanting,4,Low,2,30,19,55.333333333333336,NA,NA,NA
Perform,12,1.933,Female,280,270,Wanting,5,High,3,270,19,55.333333333333336,NA,NA,NA
Perform,12,1.712,Female,280,102,Wanting,6,Medium,3,100,19,55.333333333333336,NA,NA,NA
Perform,12,2.614,Female,280,290,Wanting,7,High,1,270,19,55.333333333333336,NA,NA,NA
Perform,12,2.829,Female,280,100,Wanting,8,Medium,3,100,19,55.333333333333336,NA,NA,NA
Perform,12,3.063,Female,280,29,Wanting,9,Low,4,30,19,55.333333333333336,NA,NA,NA
Perform,12,5.09,Female,280,102,Wanting,10,Medium,3,100,19,55.333333333333336,NA,NA,NA
Perform,12,2.564,Female,280,29,Wanting,11,Low,4,30,19,55.333333333333336,NA,NA,NA
Perform,12,2.726,Female,280,270,Wanting,12,High,2,270,19,55.333333333333336,NA,NA,NA
Perform,12,2.697,Female,280,103,Wanting,13,Medium,2,100,19,55.333333333333336,NA,NA,NA
Perform,12,2.109,Female,280,270,Wanting,14,High,2,270,19,55.333333333333336,NA,NA,NA
Perform,12,1.798,Female,280,33,Wanting,15,Low,3,30,19,55.333333333333336,NA,NA,NA
Perform,12,2.703,Female,280,273,Wanting,16,High,3,270,19,55.333333333333336,NA,NA,NA
Perform,12,2.348,Female,280,34,Wanting,17,Low,3,30,19,55.333333333333336,NA,NA,NA
Perform,12,2.893,Female,280,101,Wanting,18,Medium,3,100,19,55.333333333333336,NA,NA,NA
Perform,13,4.564,NA,275,32,Liking,1,Low,1,30,NA,48.666666666666664,NA,NA,NA
Perform,13,2.139,NA,275,101,Liking,2,Medium,3,100,NA,48.666666666666664,NA,NA,NA
Perform,13,4.773,NA,275,274,Liking,3,High,4,270,NA,48.666666666666664,NA,NA,NA
Perform,13,5.53,NA,275,35,Liking,4,Low,1,30,NA,48.666666666666664,NA,NA,NA
Perform,13,8.376,NA,275,277,Liking,5,High,4,270,NA,48.666666666666664,NA,NA,NA
Perform,13,3.966,NA,275,101,Liking,6,Medium,1,100,NA,48.666666666666664,NA,NA,NA
Perform,13,3.937,NA,275,271,Liking,7,High,2,270,NA,48.666666666666664,NA,NA,NA
Perform,13,4.651,NA,275,101,Liking,8,Medium,4,100,NA,48.666666666666664,NA,NA,NA
Perform,13,2.06,NA,275,32,Liking,9,Low,1,30,NA,48.666666666666664,NA,NA,NA
Perform,13,3.247,NA,275,100,Liking,10,Medium,1,100,NA,48.666666666666664,NA,NA,NA
Perform,13,2.141,NA,275,32,Liking,11,Low,1,30,NA,48.666666666666664,NA,NA,NA
Perform,13,3.594,NA,275,271,Liking,12,High,4,270,NA,48.666666666666664,NA,NA,NA
Perform,13,3.613,NA,275,103,Liking,13,Medium,5,100,NA,48.666666666666664,NA,NA,NA
Perform,13,6.132,NA,275,274,Liking,14,High,2,270,NA,48.666666666666664,NA,NA,NA
Perform,13,4.111,NA,275,32,Liking,15,Low,2,30,NA,48.666666666666664,NA,NA,NA
Perform,13,4.985,NA,275,275,Liking,16,High,2,270,NA,48.666666666666664,NA,NA,NA
Perform,13,5.088,NA,275,31,Liking,17,Low,3,30,NA,48.666666666666664,NA,NA,NA
Perform,13,16.868,NA,275,101,Liking,18,Medium,1,100,NA,48.666666666666664,NA,NA,NA
Perform,15,7.678,Female,365,31,Wanting,1,Low,4,30,22,70,NA,NA,NA
Perform,15,4.154,Female,365,102,Wanting,2,Medium,5,100,22,70,NA,NA,NA
Perform,15,2.844,Female,365,272,Wanting,3,High,2,270,22,70,NA,NA,NA
Perform,15,3.527,Female,365,54,Wanting,4,Low,3,30,22,70,NA,NA,NA
Perform,15,6.045,Female,365,273,Wanting,5,High,2,270,22,70,NA,NA,NA
Perform,15,6.738,Female,365,101,Wanting,6,Medium,4,100,22,70,NA,NA,NA
Perform,15,3.951,Female,365,272,Wanting,7,High,1,270,22,70,NA,NA,NA
Perform,15,7.528,Female,365,103,Wanting,8,Medium,4,100,22,70,NA,NA,NA
Perform,15,5.959,Female,365,35,Wanting,9,Low,4,30,22,70,NA,NA,NA
Perform,15,7.175,Female,365,109,Wanting,10,Medium,4,100,22,70,NA,NA,NA
Perform,15,2.576,Female,365,34,Wanting,11,Low,5,30,22,70,NA,NA,NA
Perform,15,5.228,Female,365,272,Wanting,12,High,1,270,22,70,NA,NA,NA
Perform,15,3.848,Female,365,105,Wanting,13,Medium,3,100,22,70,NA,NA,NA
Perform,15,3.357,Female,365,273,Wanting,14,High,2,270,22,70,NA,NA,NA
Perform,15,2.514,Female,365,34,Wanting,15,Low,4,30,22,70,NA,NA,NA
Perform,15,7.922,Female,365,274,Wanting,16,High,3,270,22,70,NA,NA,NA
Perform,15,3.079,Female,365,32,Wanting,17,Low,5,30,22,70,NA,NA,NA
Perform,15,2.482,Female,365,105,Wanting,18,Medium,5,100,22,70,NA,NA,NA
Perform,17,2.86,Female,275,49,Wanting,1,Low,3,30,22,61.333333333333336,NA,NA,NA
Perform,17,1.863,Female,275,105,Wanting,2,Medium,3,100,22,61.333333333333336,NA,NA,NA
Perform,17,4.647,Female,275,274,Wanting,3,High,3,270,22,61.333333333333336,NA,NA,NA
Perform,17,0.958,Female,275,33,Wanting,4,Low,3,30,22,61.333333333333336,NA,NA,NA
Perform,17,1.905,Female,275,276,Wanting,5,High,3,270,22,61.333333333333336,NA,NA,NA
Perform,17,1.416,Female,275,102,Wanting,6,Medium,3,100,22,61.333333333333336,NA,NA,NA
Perform,17,2.135,Female,275,280,Wanting,7,High,3,270,22,61.333333333333336,NA,NA,NA
Perform,17,1.41,Female,275,94,Wanting,8,Medium,3,100,22,61.333333333333336,NA,NA,NA
Perform,17,1.249,Female,275,33,Wanting,9,Low,3,30,22,61.333333333333336,NA,NA,NA
Perform,17,1.188,Female,275,103,Wanting,10,Medium,3,100,22,61.333333333333336,NA,NA,NA
Perform,17,2.103,Female,275,52,Wanting,11,Low,3,30,22,61.333333333333336,NA,NA,NA
Perform,17,1.523,Female,275,274,Wanting,12,High,3,270,22,61.333333333333336,NA,NA,NA
Perform,17,1.376,Female,275,106,Wanting,13,Medium,3,100,22,61.333333333333336,NA,NA,NA
Perform,17,1.555,Female,275,271,Wanting,14,High,3,270,22,61.333333333333336,NA,NA,NA
Perform,17,1.224,Female,275,32,Wanting,15,Low,3,30,22,61.333333333333336,NA,NA,NA
Perform,17,1.646,Female,275,276,Wanting,16,High,3,270,22,61.333333333333336,NA,NA,NA
Perform,17,1.01,Female,275,34,Wanting,17,Low,3,30,22,61.333333333333336,NA,NA,NA
Perform,17,1.312,Female,275,102,Wanting,18,Medium,3,100,22,61.333333333333336,NA,NA,NA
Perform,18,2.413,NA,145,35,Liking,1,Low,4,30,NA,32.666666666666664,NA,NA,NA
Perform,18,4.077,NA,145,105,Liking,2,Medium,2,100,NA,32.666666666666664,NA,NA,NA
Perform,18,1.167,NA,145,271,Liking,3,High,1,270,NA,32.666666666666664,NA,NA,NA
Perform,18,2.015,NA,145,32,Liking,4,Low,5,30,NA,32.666666666666664,NA,NA,NA
Perform,18,4.031,NA,145,271,Liking,5,High,2,270,NA,32.666666666666664,NA,NA,NA
Perform,18,1.618,NA,145,100,Liking,6,Medium,3,100,NA,32.666666666666664,NA,NA,NA
Perform,18,3.434,NA,145,272,Liking,7,High,4,270,NA,32.666666666666664,NA,NA,NA
Perform,18,2.044,NA,145,103,Liking,8,Medium,4,100,NA,32.666666666666664,NA,NA,NA
Perform,18,1.534,NA,145,32,Liking,9,Low,1,30,NA,32.666666666666664,NA,NA,NA
Perform,18,1.012,NA,145,101,Liking,10,Medium,4,100,NA,32.666666666666664,NA,NA,NA
Perform,18,1.546,NA,145,31,Liking,11,Low,1,30,NA,32.666666666666664,NA,NA,NA
Perform,18,1.374,NA,145,272,Liking,12,High,5,270,NA,32.666666666666664,NA,NA,NA
Perform,18,1.447,NA,145,103,Liking,13,Medium,5,100,NA,32.666666666666664,NA,NA,NA
Perform,18,3.463,NA,145,270,Liking,14,High,3,270,NA,32.666666666666664,NA,NA,NA
Perform,18,1.209,NA,145,31,Liking,15,Low,2,30,NA,32.666666666666664,NA,NA,NA
Perform,18,1.724,NA,145,273,Liking,16,High,1,270,NA,32.666666666666664,NA,NA,NA
Perform,18,0.796,NA,145,36,Liking,17,Low,5,30,NA,32.666666666666664,NA,NA,NA
Perform,18,1.68,NA,145,101,Liking,18,Medium,5,100,NA,32.666666666666664,NA,NA,NA
Perform,19,1.725,NA,320,50,Value,1,Low,1,30,NA,64.66666666666667,NA,NA,NA
Perform,19,3.004,NA,320,104,Value,2,Medium,3,100,NA,64.66666666666667,NA,NA,NA
Perform,19,1.682,NA,320,274,Value,3,High,5,270,NA,64.66666666666667,NA,NA,NA
Perform,19,1.45,NA,320,32,Value,4,Low,1,30,NA,64.66666666666667,NA,NA,NA
Perform,19,2.272,NA,320,273,Value,5,High,5,270,NA,64.66666666666667,NA,NA,NA
Perform,19,2.407,NA,320,103,Value,6,Medium,3,100,NA,64.66666666666667,NA,NA,NA
Perform,19,2.776,NA,320,273,Value,7,High,4,270,NA,64.66666666666667,NA,NA,NA
Perform,19,2.754,NA,320,102,Value,8,Medium,2,100,NA,64.66666666666667,NA,NA,NA
Perform,19,2.358,NA,320,32,Value,9,Low,1,30,NA,64.66666666666667,NA,NA,NA
Perform,19,2.672,NA,320,103,Value,10,Medium,2,100,NA,64.66666666666667,NA,NA,NA
Perform,19,1.796,NA,320,30,Value,11,Low,1,30,NA,64.66666666666667,NA,NA,NA
Perform,19,3.517,NA,320,275,Value,12,High,4,270,NA,64.66666666666667,NA,NA,NA
Perform,19,2.66,NA,320,105,Value,13,Medium,3,100,NA,64.66666666666667,NA,NA,NA
Perform,19,3.351,NA,320,273,Value,14,High,4,270,NA,64.66666666666667,NA,NA,NA
Perform,19,2.879,NA,320,35,Value,15,Low,2,30,NA,64.66666666666667,NA,NA,NA
Perform,19,11.061,NA,320,273,Value,16,High,4,270,NA,64.66666666666667,NA,NA,NA
Perform,19,2.192,NA,320,32,Value,17,Low,1,30,NA,64.66666666666667,NA,NA,NA
Perform,19,2.124,NA,320,102,Value,18,Medium,2,100,NA,64.66666666666667,NA,NA,NA
Perform,23,2.321,NA,310,33,Value,1,Low,2,30,NA,59.666666666666664,NA,NA,NA
